"",BBK01.OELO05O,BBK01.OELO05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:39,
2002-01,0.051,
2002-04,0.027,
2002-07,0.033,
2002-10,0.310,
2003-01,0.052,
2003-04,0.026,
2003-07,0.033,
2003-10,0.273,
2004-01,0.046,
2004-04,0.022,
2004-07,0.023,
2004-10,0.247,
2005-01,0.044,
2005-04,0.023,
2005-07,0.027,
2005-10,0.238,
2006-01,0.041,
2006-04,0.021,
2006-07,0.024,
2006-10,0.204,
2007-01,0.043,
2007-04,0.033,
2007-07,0.026,
2007-10,0.207,
2008-01,0.026,
2008-04,0.020,
2008-07,0.029,
2008-10,0.211,
2009-01,0.022,
2009-04,0.017,
2009-07,0.023,
2009-10,0.172,
2010-01,0.017,
2010-04,0.017,
2010-07,0.019,
2010-10,0.155,
2011-01,0.024,
2011-04,0.027,
2011-07,0.021,
2011-10,0.149,
2012-01,0.025,
2012-04,0.016,
2012-07,0.023,
2012-10,0.133,
2013-01,0.021,
2013-04,0.015,
2013-07,0.018,
2013-10,0.094,
2014-01,0.016,
2014-04,0.013,
2014-07,0.017,
