"",BBSF2.M.1.S.00000.SON01.A.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.SON01.A.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Number / Not defined / Distribution funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:53:32,
2009-09,11,
2009-10,16,
2009-11,19,
2009-12,17,
2010-01,23,
2010-02,23,
2010-03,23,
2010-04,24,
2010-05,24,
2010-06,24,
2010-07,25,
2010-08,23,
2010-09,22,
2010-10,24,
2010-11,24,
2010-12,26,
2011-01,27,
2011-02,27,
2011-03,28,
2011-04,29,
2011-05,30,
2011-06,31,
2011-07,31,
2011-08,38,
2011-09,40,
2011-10,77,
2011-11,98,
2011-12,98,
2012-01,99,
2012-02,98,
2012-03,97,
2012-04,92,
2012-05,90,
2012-06,88,
2012-07,89,
2012-08,89,
2012-09,89,
2012-10,90,
2012-11,92,
2012-12,95,
2013-01,95,
2013-02,94,
2013-03,95,
2013-04,95,
2013-05,98,
2013-06,99,
2013-07,124,
2013-08,123,
2013-09,123,
2013-10,121,
2013-11,119,
2013-12,121,
2014-01,121,
2014-02,123,
2014-03,123,
2014-04,122,
2014-05,121,
2014-06,120,
2014-07,118,
2014-08,136,
2014-09,134,
2014-10,133,
2014-11,134,
