"",BBK01.OEAJ03J,BBK01.OEAJ03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:12,
2002-01,6.803,
2002-04,6.914,
2002-07,6.698,
2002-10,6.784,
2003-01,6.604,
2003-04,6.684,
2003-07,6.823,
2003-10,7.040,
2004-01,7.354,
2004-04,7.476,
2004-07,7.982,
2004-10,8.434,
2005-01,9.050,
2005-04,9.110,
2005-07,9.245,
2005-10,10.237,
2006-01,10.263,
2006-04,10.501,
2006-07,10.911,
2006-10,10.873,
2007-01,11.429,
2007-04,11.513,
2007-07,12.176,
2007-10,12.489,
2008-01,12.823,
2008-04,13.174,
2008-07,13.285,
2008-10,13.403,
2009-01,13.592,
2009-04,13.491,
2009-07,13.339,
2009-10,13.378,
2010-01,13.396,
2010-04,12.942,
2010-07,12.744,
2010-10,12.840,
2011-01,12.818,
2011-04,12.678,
2011-07,12.851,
2011-10,12.487,
2012-01,12.567,
2012-04,12.117,
2012-07,11.700,
2012-10,11.259,
2013-01,11.021,
2013-04,9.615,
2013-07,8.540,
2013-10,8.100,
2014-01,6.757,
2014-04,6.552,
2014-07,6.460,
