"",BBDA1.M.DE.N.EX.S.A.P0.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.P0.A.V.ABA.A_FLAGS
"","German foreign trade: exports / At current prices, flows / Aggregate / all goods / OECD countries (evolving composition) / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:57,
1990-07,23878047,
1990-08,21843790,
1990-09,22313183,
1990-10,27327070,
1990-11,24859581,
1990-12,21661347,
1991-01,24594885,
1991-02,23204191,
1991-03,24718049,
1991-04,23798285,
1991-05,23661924,
1991-06,23719008,
1991-07,25190210,
1991-08,21932535,
1991-09,22884721,
1991-10,26326094,
1991-11,25045335,
1991-12,23476178,
1992-01,23697951,
1992-02,23880508,
1992-03,27522331,
1992-04,26183618,
1992-05,22772879,
1992-06,22296822,
1992-07,25835099,
1992-08,20872902,
1992-09,24400311,
1992-10,26647728,
1992-11,23221645,
1992-12,22923549,
1993-01,19697857,
1993-02,22915438,
1993-03,24296610,
1993-04,22646507,
1993-05,21825089,
1993-06,22987510,
1993-07,21498811,
1993-08,20120038,
1993-09,22708076,
1993-10,23886003,
1993-11,23697008,
1993-12,23635575,
1994-01,21382157,
1994-02,22705467,
1994-03,26463325,
1994-04,23957698,
1994-05,25122279,
1994-06,26793397,
1994-07,23173424,
1994-08,23430020,
1994-09,25259723,
1994-10,26162869,
1994-11,25973272,
1994-12,26474559,
1995-01,25436076,
1995-02,26011153,
1995-03,28721292,
1995-04,26014017,
1995-05,27544613,
1995-06,28467464,
1995-07,25254814,
1995-08,24037657,
1995-09,27834746,
1995-10,28348698,
1995-11,28151871,
1995-12,26686492,
1996-01,27540765,
1996-02,27594800,
1996-03,28685548,
1996-04,28564145,
1996-05,28083721,
1996-06,27596848,
1996-07,29573989,
1996-08,24942049,
1996-09,27828570,
1996-10,31986704,
1996-11,29998942,
1996-12,28052960,
1997-01,28152397,
1997-02,29755267,
1997-03,30678999,
1997-04,31584961,
1997-05,30472962,
1997-06,33280137,
1997-07,33336311,
1997-08,27931357,
1997-09,33276137,
1997-10,35030232,
1997-11,33999996,
1997-12,32880487,
1998-01,32130348,
1998-02,33957850,
1998-03,36139232,
1998-04,36809181,
1998-05,33409139,
1998-06,36252756,
1998-07,37040291,
1998-08,29583211,
1998-09,33695459,
1998-10,37369469,
1998-11,36597642,
1998-12,33029331,
1999-01,31595665,
1999-02,34526667,
1999-03,37871098,
1999-04,36445776,
1999-05,34669840,
1999-06,39075621,
1999-07,37820370,
1999-08,33270437,
1999-09,37235756,
1999-10,38733760,
1999-11,42552746,
1999-12,38063270,
2000-01,36933568,
2000-02,40872903,
2000-03,45478724,
2000-04,39705385,
2000-05,45033327,
2000-06,42799583,
2000-07,42803885,
2000-08,39952728,
2000-09,42003170,
2000-10,48898220,
2000-11,49038307,
2000-12,42230729,
2001-01,45044859,
2001-02,45200778,
2001-03,47888376,
2001-04,45263010,
2001-05,45989467,
2001-06,45782415,
2001-07,46656560,
2001-08,43057716,
2001-09,41834676,
2001-10,48303478,
2001-11,46203949,
2001-12,40358297,
2002-01,42887109,
2002-02,43994536,
2002-03,46089795,
2002-04,47346775,
2002-05,42586554,
2002-06,47811906,
2002-07,47012060,
2002-08,43238572,
2002-09,46409284,
2002-10,49642067,
2002-11,49619615,
2002-12,42616879,
2003-01,45271658,
2003-02,45990858,
2003-03,48188575,
2003-04,45308479,
2003-05,45587396,
2003-06,45616955,
2003-07,47999864,
2003-08,41101082,
2003-09,49128791,
2003-10,49620688,
2003-11,49929672,
2003-12,45761840,
2004-01,46399276,
2004-02,47899827,
2004-03,54431722,
2004-04,51388770,
2004-05,50459771,
2004-06,52242724,
2004-07,51408140,
2004-08,46136874,
2004-09,51658995,
2004-10,53960545,
2004-11,56157921,
2004-12,48714877,
2005-01,50431767,
2005-02,50674734,
2005-03,55018260,
2005-04,54265291,
2005-05,53062750,
2005-06,57397547,
2005-07,52689886,
2005-08,51084812,
2005-09,57286972,
2005-10,57281630,
2005-11,59793883,
2005-12,54769693,
2006-01,56794958,
2006-02,58199973,
2006-03,64333479,
2006-04,57682528,
2006-05,59868745,
2006-06,60890230,
2006-07,59677144,
2006-08,55518332,
2006-09,63760661,
2006-10,67643869,
2006-11,67841048,
2006-12,58683443,
2007-01,63630444,
2007-02,63958209,
2007-03,69140079,
2007-04,64486946,
2007-05,64396752,
2007-06,66199312,
2007-07,65889383,
2007-08,61347907,
2007-09,65860671,
2007-10,72175257,
2007-11,70821314,
2007-12,58249710,
2008-01,67688266,
2008-02,67880060,
2008-03,67265687,
2008-04,71339465,
2008-05,64008699,
2008-06,69958895,
2008-07,67954886,
2008-08,58710042,
2008-09,69047776,
2008-10,70520518,
2008-11,60092574,
2008-12,51394138,
2009-01,51604089,
2009-02,51144590,
2009-03,56169126,
2009-04,51593408,
2009-05,48381505,
2009-06,53252936,
2009-07,54802134,
2009-08,46689485,
2009-09,56936717,
2009-10,57696596,
2009-11,56964866,
2009-12,51684440,
2010-01,51002918,
2010-02,55175138,
2010-03,66979299,
2010-04,58707207,
2010-05,59211385,
2010-06,66186343,
2010-07,61866456,
2010-08,56389695,
2010-09,66212579,
2010-10,67028190,
2010-11,67735762,
2010-12,62203231,
2011-01,62814762,
2011-02,66267743,
2011-03,76537490,
2011-04,65684156,
2011-05,71137960,
2011-06,68685977,
2011-07,65378525,
2011-08,64512876,
2011-09,73679362,
2011-10,68477192,
2011-11,72285956,
2011-12,63084587,
