"",BBEE1.Q.I7.AAA.XZE01B.A.AABAN.M00,BBEE1.Q.I7.AAA.XZE01B.A.AABAN.M00_FLAGS
"",Nominal effective exchange rate of the euro against the currencies of the EER-20 group,
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-12 15:35:04,
1993-01,95.9817,
1993-04,95.4846,
1993-07,92.7803,
1993-10,93.3144,
1994-01,94.4311,
1994-04,96.7362,
1994-07,99.7768,
1994-10,99.8756,
1995-01,101.6101,
1995-04,103.0472,
1995-07,104.0506,
1995-10,105.1928,
1996-01,104.8505,
1996-04,103.5432,
1996-07,105.0809,
1996-10,103.8083,
1997-01,100.5077,
1997-04,98.3233,
1997-07,95.0111,
1997-10,98.1969,
1998-01,97.3686,
1998-04,98.6221,
1998-07,100.7901,
1998-10,103.3249,
1999-01,100.0000,
1999-04,96.5119,
1999-07,95.1910,
1999-10,93.3806,
2000-01,90.1410,
2000-04,87.4417,
2000-07,86.1713,
2000-10,84.3926,
2001-01,89.2862,
2001-04,86.2860,
2001-07,87.4961,
2001-10,87.7861,
2002-01,86.8820,
2002-04,88.7066,
2002-07,91.7606,
2002-10,92.7185,
2003-01,97.1734,
2003-04,101.3633,
2003-07,100.9241,
2003-10,103.0730,
2004-01,105.4755,
2004-04,102.9192,
2004-07,103.4097,
2004-10,105.9249,
2005-01,105.6151,
2005-04,103.4509,
2005-07,101.7812,
2005-10,100.6815,
2006-01,100.8415,
2006-04,102.9804,
2006-07,103.6918,
2006-10,103.6049,
2007-01,104.3856,
2007-04,105.7164,
2007-07,106.0718,
2007-10,108.5196,
2008-01,109.9488,
2008-04,112.0378,
2008-07,109.6105,
2008-10,105.5962,
2009-01,108.7784,
2009-04,109.9519,
2009-07,110.9416,
2009-10,112.5561,
2010-01,107.5057,
2010-04,102.0722,
2010-07,101.4143,
2010-10,103.3731,
2011-01,102.6899,
2011-04,105.1643,
2011-07,103.5332,
2011-10,102.1180,
2012-01,99.4969,
2012-04,98.2112,
2012-07,95.8890,
2012-10,97.8678,
2013-01,100.7328,
2013-04,100.8415,
2013-07,101.8907,
2013-10,103.0929,
2014-01,103.8685,
2014-04,103.7702,
2014-07,101.6372,
2014-10,99.5733,
"",Source: European Central Bank: EXR.Q.E1.EUR.EN00.A,
"","Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro against the currencies of the following countries: Australia, Bulgaria, Canada, China, Croatia, Czech Republic, Denmark, Hong Kong, Hungary, Japan, Lithuania, Norway, Poland, Romania, Singapore, South Korea, Sweden, Switzerland,the United Kingdom and the United States.                       The weights used in these calculations are based on manufactured goodstrade and capture third-market effects.                            For details of the methodology see ECB, Monthly Bulletin, March 2012 as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",
