"",BBDA1.M.DE.N.EX.S.A.TR.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.TR.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Turkey / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:36,
1990-07,323695,
1990-08,285675,
1990-09,240780,
1990-10,320868,
1990-11,305435,
1990-12,374271,
1991-01,391129,
1991-02,295176,
1991-03,366899,
1991-04,239251,
1991-05,259552,
1991-06,269451,
1991-07,261678,
1991-08,265443,
1991-09,257209,
1991-10,306196,
1991-11,328128,
1991-12,353740,
1992-01,286866,
1992-02,265738,
1992-03,292696,
1992-04,287293,
1992-05,254445,
1992-06,219988,
1992-07,306144,
1992-08,232317,
1992-09,255724,
1992-10,291479,
1992-11,307948,
1992-12,374609,
1993-01,337397,
1993-02,269575,
1993-03,314356,
1993-04,354116,
1993-05,329725,
1993-06,337883,
1993-07,347388,
1993-08,355181,
1993-09,340615,
1993-10,377777,
1993-11,396833,
1993-12,545822,
1994-01,356532,
1994-02,297284,
1994-03,318186,
1994-04,252215,
1994-05,241192,
1994-06,203280,
1994-07,219087,
1994-08,219995,
1994-09,210280,
1994-10,230686,
1994-11,319662,
1994-12,352584,
1995-01,232944,
1995-02,267971,
1995-03,280992,
1995-04,541047,
1995-05,326886,
1995-06,307985,
1995-07,368602,
1995-08,371834,
1995-09,362896,
1995-10,431241,
1995-11,548991,
1995-12,596580,
1996-01,393454,
1996-02,419957,
1996-03,420899,
1996-04,458206,
1996-05,577892,
1996-06,442983,
1996-07,571161,
1996-08,441279,
1996-09,434784,
1996-10,578301,
1996-11,574485,
1996-12,522869,
1997-01,502310,
1997-02,444549,
1997-03,453706,
1997-04,555219,
1997-05,530225,
1997-06,614891,
1997-07,680420,
1997-08,529405,
1997-09,687305,
1997-10,676197,
1997-11,704832,
1997-12,661035,
1998-01,557314,
1998-02,525901,
1998-03,668086,
1998-04,677473,
1998-05,623222,
1998-06,547769,
1998-07,666445,
1998-08,541827,
1998-09,542175,
1998-10,558644,
1998-11,567516,
1998-12,492015,
1999-01,310916,
1999-02,660283,
1999-03,462929,
1999-04,401693,
1999-05,405488,
1999-06,505976,
1999-07,556119,
1999-08,388141,
1999-09,481304,
1999-10,502102,
1999-11,568824,
1999-12,633920,
2000-01,420652,
2000-02,563007,
2000-03,619330,
2000-04,539475,
2000-05,780222,
2000-06,729890,
2000-07,742021,
2000-08,727589,
2000-09,739354,
2000-10,838477,
2000-11,955970,
2000-12,684680,
2001-01,544015,
2001-02,516057,
2001-03,465024,
2001-04,401094,
2001-05,487987,
2001-06,513859,
2001-07,543208,
2001-08,479050,
2001-09,439076,
2001-10,579421,
2001-11,501048,
2001-12,480581,
2002-01,421147,
2002-02,560644,
2002-03,601373,
2002-04,608802,
2002-05,607676,
2002-06,675708,
2002-07,630778,
2002-08,623616,
2002-09,673907,
2002-10,736030,
2002-11,716107,
2002-12,647201,
2003-01,671826,
2003-02,614759,
2003-03,601429,
2003-04,615254,
2003-05,692881,
2003-06,760079,
2003-07,846012,
2003-08,751299,
2003-09,903369,
2003-10,793181,
2003-11,817808,
2003-12,781789,
2004-01,843540,
2004-02,841275,
2004-03,1008577,
2004-04,1091607,
2004-05,1100839,
2004-06,1000976,
2004-07,1002099,
2004-08,933924,
2004-09,969518,
2004-10,976927,
2004-11,922063,
2004-12,1096554,
2005-01,941368,
2005-02,811044,
2005-03,1020954,
2005-04,1008044,
2005-05,1020562,
2005-06,1278479,
2005-07,1088161,
2005-08,1070969,
2005-09,1197766,
2005-10,1152776,
2005-11,1006571,
2005-12,1205911,
2006-01,1134827,
2006-02,1136687,
2006-03,1144375,
2006-04,1160075,
2006-05,1248710,
2006-06,1116912,
2006-07,1090663,
2006-08,1153784,
2006-09,1377965,
2006-10,1346466,
2006-11,1320974,
2006-12,1154662,
2007-01,1174629,
2007-02,1033267,
2007-03,1201899,
2007-04,1195080,
2007-05,1298761,
2007-06,1215043,
2007-07,1286580,
2007-08,1265288,
2007-09,1289768,
2007-10,1435557,
2007-11,1488104,
2007-12,1191664,
2008-01,1387028,
2008-02,1367695,
2008-03,1291192,
2008-04,1369487,
2008-05,1312734,
2008-06,1449562,
2008-07,1258877,
2008-08,1127143,
2008-09,1347435,
2008-10,1269656,
2008-11,970986,
2008-12,977569,
2009-01,768942,
2009-02,785020,
2009-03,935984,
2009-04,859658,
2009-05,964099,
2009-06,997400,
2009-07,1146657,
2009-08,1020993,
2009-09,979434,
2009-10,1036504,
2009-11,1089039,
2009-12,1041205,
2010-01,941050,
2010-02,1052609,
2010-03,1309485,
2010-04,1280239,
2010-05,1232533,
2010-06,1534351,
2010-07,1415707,
2010-08,1289450,
2010-09,1451169,
2010-10,1559046,
2010-11,1602381,
2010-12,1584528,
2011-01,1376656,
2011-02,1632291,
2011-03,2197204,
2011-04,1766478,
2011-05,1918166,
2011-06,1704229,
2011-07,1704796,
2011-08,1560216,
2011-09,1622214,
2011-10,1574027,
2011-11,1516150,
2011-12,1545823,
2012-01,1418656,
2012-02,1558713,
2012-03,1848430,
2012-04,1557083,
2012-05,1767037,
2012-06,1832767,
2012-07,1761535,
2012-08,1730241,
2012-09,1646143,
2012-10,1724582,
2012-11,1860659,
2012-12,1394154,
2013-01,1755041,
2013-02,1773459,
2013-03,1856613,
