"",BBEX3.M.IQD.USD.CA.AA.A01,BBEX3.M.IQD.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Iraq / USD 1 = IQD ... (buying),
unit,IQD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:03,
2005-01,1459.270,
2005-02,1459.270,
2005-03,1464.268,
2005-04,1459.270,
2005-05,1464.268,
2005-06,1464.268,
2005-07,1474.263,
2005-08,1477.261,
2005-09,1474.263,
2005-10,1471.264,comment
2005-11,1472.264,
2005-12,1474.263,
2006-01,1475.262,
2006-02,1475.262,
2006-03,1475.262,
2006-04,1476.262,
2006-05,1475.262,
2006-06,1476.262,
2006-07,1475.262,
2006-08,1476.262,
2006-09,1472.264,
2006-10,1469.265,
2006-11,1434.283,
2006-12,1323.000,
2007-01,1290.000,
2007-02,1280.360,
2007-03,1272.364,
2007-04,1269.365,
2007-05,1259.370,
2007-06,1250.375,
2007-07,1242.000,
2007-08,1236.000,
2007-09,1232.000,
2007-10,1230.000,
2007-11,1218.000,
2007-12,1213.000,
2008-01,1211.000,comment
2008-02,1208.000,
2008-03,1204.000,
2008-04,1200.000,
2008-05,1196.000,
2008-06,1193.000,
2008-07,1189.000,
2008-08,1181.000,
2008-09,1177.000,
2008-10,1174.000,
2008-11,1171.000,
2008-12,1170.000,
2009-01,1168.000,
2009-02,1168.000,
2009-03,1168.000,
2009-04,1168.000,
2009-05,1168.000,
2009-06,1168.000,
2009-07,1168.000,
2009-08,1168.000,
2009-09,1168.000,
2009-10,1168.000,
2009-11,1168.000,
2009-12,1168.000,
2010-01,1168.000,
2010-02,1168.000,
2010-03,1168.000,
2010-04,1168.000,
2010-05,1168.000,
2010-06,1168.000,
2010-07,1168.000,
2010-08,1168.000,
2010-09,1168.000,
2010-10,1168.000,
2010-11,1168.000,
2010-12,1168.000,
2011-01,1168.000,
2011-02,1168.000,
2011-03,1168.000,
2011-04,1168.000,
2011-05,1168.000,
2011-06,1168.000,
2011-07,1168.000,
2011-08,1168.000,
2011-09,1168.000,
2011-10,1168.000,
2011-11,1168.000,
2011-12,1168.000,
2012-01,1164.000,
2012-02,1164.000,
2012-03,1164.000,
2012-04,1164.000,
2012-05,1164.000,
2012-06,1164.000,
2012-07,1164.000,
2012-08,1164.000,
2012-09,1164.000,
2012-10,1164.000,
2012-11,1164.000,
2012-12,1164.000,
2013-01,1164.000,
2013-02,1164.000,
2013-03,1164.000,
2013-04,1164.000,
2013-05,1164.000,
2013-06,1164.000,
2013-07,1164.000,
2013-08,1164.000,
2013-09,1164.000,
2013-10,1164.000,
2013-11,1164.000,
2013-12,1164.000,
2014-01,1164.000,
2014-02,1164.000,
2014-03,1164.000,
2014-04,1164.000,
2014-05,1164.000,
2014-06,1164.000,
2014-07,1164.000,
2014-08,1164.000,
2014-09,1164.000,
2014-10,1164.000,
2014-11,1164.000,
2014-12,1164.000,
2015-01,1164.000,
"",General: Currency auction rates (mid-market rates) are available up to December 2004; see BBEX3:M:IQD:USD:CA:AC:A01.,
"","Source: Central Bank of Iraq, Baghdad",
"",Comment on 2005-10: Exchange rate as of 1 November 2005.,
"",Comment on 2008-01: Exchange rate as of 24 January 2008.,
