"",BBK01.OEAE03R,BBK01.OEAE03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:33,
2002-01,0.106,
2002-04,0.113,
2002-07,0.112,
2002-10,0.112,
2003-01,0.107,
2003-04,0.107,
2003-07,0.107,
2003-10,0.103,
2004-01,0.107,
2004-04,0.077,
2004-07,0.071,
2004-10,0.076,
2005-01,0.077,
2005-04,0.077,
2005-07,0.091,
2005-10,0.077,
2006-01,0.083,
2006-04,0.079,
2006-07,0.079,
2006-10,0.080,
2007-01,0.079,
2007-04,0.077,
2007-07,0.076,
2007-10,0.078,
2008-01,0.078,
2008-04,0.077,
2008-07,0.073,
2008-10,0.072,
2009-01,0.076,
2009-04,0.070,
2009-07,0.070,
2009-10,0.063,
2010-01,0.066,
2010-04,0.058,
2010-07,0.091,
2010-10,0.121,
2011-01,0.111,
2011-04,0.109,
2011-07,0.111,
2011-10,0.138,
2012-01,0.159,
2012-04,0.166,
2012-07,0.171,
2012-10,0.172,
2013-01,0.207,
2013-04,0.209,
2013-07,0.210,
2013-10,0.217,
2014-01,0.213,
2014-04,0.215,
2014-07,0.212,
