"",BBK01.OEAF23V,BBK01.OEAF23V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:37,
2002-01,0.247,
2002-04,0.234,
2002-07,0.229,
2002-10,0.218,
2003-01,0.206,
2003-04,0.195,
2003-07,0.189,
2003-10,0.183,
2004-01,0.178,
2004-04,0.173,
2004-07,0.172,
2004-10,0.172,
2005-01,0.202,
2005-04,0.194,
2005-07,0.184,
2005-10,0.173,
2006-01,0.166,
2006-04,0.160,
2006-07,0.152,
2006-10,0.146,
2007-01,0.145,
2007-04,0.138,
2007-07,0.138,
2007-10,0.115,
2008-01,0.110,
2008-04,0.103,
2008-07,0.103,
2008-10,0.101,
2009-01,0.096,
2009-04,0.101,
2009-07,0.100,
2009-10,0.094,
2010-01,0.099,
2010-04,0.107,
2010-07,0.114,
2010-10,0.131,
2011-01,0.122,
2011-04,0.133,
2011-07,0.149,
2011-10,0.152,
2012-01,0.156,
2012-04,0.167,
2012-07,0.174,
2012-10,0.177,
2013-01,0.178,
2013-04,0.178,
2013-07,0.173,
2013-10,0.168,
2014-01,0.159,
2014-04,0.158,
2014-07,0.152,
