"",BBK01.OEYK03I,BBK01.OEYK03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:59,
2002-01,3.519,
2002-04,3.394,
2002-07,3.379,
2002-10,3.292,
2003-01,3.269,
2003-04,3.088,
2003-07,3.143,
2003-10,2.404,
2004-01,2.392,
2004-04,1.926,
2004-07,1.917,
2004-10,1.266,
2005-01,1.218,
2005-04,0.147,
2005-07,0.144,
2005-10,0.119,
2006-01,0.113,
2006-04,0.095,
2006-07,0.115,
2006-10,0.090,
2007-01,0.104,
2007-04,0.132,
2007-07,0.200,
2007-10,0.255,
2008-01,0.242,
2008-04,0.274,
2008-07,0.268,
2008-10,0.219,
2009-01,0.081,
2009-04,0.063,
2009-07,0.052,
2009-10,0.049,
2010-01,0.042,
2010-04,0.039,
2010-07,0.042,
2010-10,0.043,
2011-01,0.041,
2011-04,0.045,
2011-07,0.029,
2011-10,0.029,
2012-01,0.031,
2012-04,0.026,
2012-07,0.025,
2012-10,0.024,
2013-01,0.023,
2013-04,0.022,
2013-07,0.022,
2013-10,0.022,
2014-01,0.022,
2014-04,0.022,
2014-07,0.026,
