"",BBK01.OXA8U6,BBK01.OXA8U6_FLAGS
"",Net total of loans (including bills of exchange) sold to/ bought from domestic non-banks (non-MFIs) during the reporting period - of which: on-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:53,
2009-12,-,Nothing exists
2010-01,3.862,
2010-02,-,Nothing exists
2010-03,2.467,
2010-04,-,Nothing exists
2010-05,2.103,
2010-06,2.312,
2010-07,1.603,
2010-08,1.928,
2010-09,1.778,
2010-10,3.861,
2010-11,4.171,
2010-12,1.591,
2011-01,1.470,
2011-02,1.141,
2011-03,1.188,
2011-04,1.430,
2011-05,1.376,
2011-06,1.293,
2011-07,1.969,
2011-08,2.539,
2011-09,1.996,
2011-10,1.469,
2011-11,3.614,
2011-12,1.067,
2012-01,2.054,
2012-02,1.224,
2012-03,0.876,
2012-04,-1.682,
2012-05,1.404,
2012-06,1.154,
2012-07,2.184,
2012-08,2.023,
2012-09,0.647,
2012-10,-1.111,
2012-11,2.516,
2012-12,1.062,
2013-01,1.123,
2013-02,2.178,
2013-03,3.622,
2013-04,1.136,
2013-05,2.176,
2013-06,3.971,
2013-07,2.278,
2013-08,0.877,
2013-09,0.935,
2013-10,2.169,
2013-11,3.296,
2013-12,1.127,
2014-01,1.063,
2014-02,0.491,
2014-03,3.914,
2014-04,3.074,
2014-05,3.146,
2014-06,1.186,
2014-07,1.295,
2014-08,2.126,
2014-09,5.830,
2014-10,3.268,
2014-11,1.432,
2014-12,1.775,Provisional value
