"",BBK01.OEAA37M,BBK01.OEAA37M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:52,
2002-01,89.851,
2002-04,90.598,
2002-07,92.631,
2002-10,93.672,
2003-01,95.431,
2003-04,96.890,
2003-07,98.838,
2003-10,98.685,
2004-01,99.043,
2004-04,99.511,
2004-07,98.652,
2004-10,98.917,
2005-01,103.837,
2005-04,104.793,
2005-07,106.079,
2005-10,107.179,
2006-01,107.390,
2006-04,109.863,
2006-07,110.463,
2006-10,110.477,
2007-01,112.615,
2007-04,109.761,
2007-07,110.133,
2007-10,109.826,
2008-01,108.563,
2008-04,108.782,
2008-07,107.751,
2008-10,107.638,
2009-01,107.901,
2009-04,109.829,
2009-07,110.869,
2009-10,110.854,
2010-01,110.680,
2010-04,110.619,
2010-07,111.203,
2010-10,111.409,
2011-01,110.902,
2011-04,110.777,
2011-07,110.515,
2011-10,110.505,
2012-01,110.405,
2012-04,111.303,
2012-07,111.817,
2012-10,112.141,
2013-01,111.357,
2013-04,112.001,
2013-07,112.426,
2013-10,112.802,
2014-01,112.913,
2014-04,112.675,
2014-07,113.529,
