"",BBFN1.M.DE.N.1.L.B0.S1P.F0.L.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.B0.S1P.F0.L.N000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign non-banks arising from financial operations / Total / EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:20,
1971-12,1.255,
1972-01,.,No value available
1972-02,.,No value available
1972-03,.,No value available
1972-04,.,No value available
1972-05,.,No value available
1972-06,.,No value available
1972-07,.,No value available
1972-08,.,No value available
1972-09,.,No value available
1972-10,.,No value available
1972-11,.,No value available
1972-12,1.567,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,2.242,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,2.345,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,2.601,
1976-01,.,No value available
1976-02,.,No value available
1976-03,.,No value available
1976-04,.,No value available
1976-05,.,No value available
1976-06,.,No value available
1976-07,.,No value available
1976-08,.,No value available
1976-09,.,No value available
1976-10,.,No value available
1976-11,.,No value available
1976-12,2.794,
1977-01,.,No value available
1977-02,.,No value available
1977-03,.,No value available
1977-04,.,No value available
1977-05,.,No value available
1977-06,.,No value available
1977-07,.,No value available
1977-08,.,No value available
1977-09,.,No value available
1977-10,.,No value available
1977-11,.,No value available
1977-12,3.213,
1978-01,.,No value available
1978-02,.,No value available
1978-03,.,No value available
1978-04,.,No value available
1978-05,.,No value available
1978-06,.,No value available
1978-07,.,No value available
1978-08,.,No value available
1978-09,.,No value available
1978-10,.,No value available
1978-11,.,No value available
1978-12,3.165,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,3.396,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,3.567,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,3.677,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,3.925,
1982-10,3.902,
1982-11,3.885,
1982-12,3.706,
1983-01,3.735,
1983-02,3.826,
1983-03,3.829,
1983-04,3.811,
1983-05,3.974,
1983-06,4.009,
1983-07,4.063,
1983-08,4.023,
1983-09,4.000,
1983-10,3.997,
1983-11,3.933,
1983-12,3.920,
1984-01,4.113,
1984-02,4.125,
1984-03,4.088,
1984-04,4.101,
1984-05,4.156,
1984-06,4.159,
1984-07,4.076,
1984-08,4.102,
1984-09,4.097,
1984-10,3.637,
1984-11,3.665,
1984-12,3.569,
1985-01,3.610,
1985-02,4.129,
1985-03,4.117,
1985-04,4.345,
1985-05,4.335,
1985-06,4.514,
1985-07,4.489,
1985-08,4.358,
1985-09,4.243,
1985-10,4.275,
1985-11,4.263,
1985-12,4.353,
1986-01,4.414,
1986-02,4.569,
1986-03,4.571,
1986-04,5.005,
1986-05,5.047,
1986-06,5.086,
1986-07,5.169,
1986-08,5.412,
1986-09,5.480,
1986-10,5.600,
1986-11,5.702,
1986-12,5.671,
1987-01,5.988,
1987-02,6.115,
1987-03,6.106,
1987-04,6.152,
1987-05,6.193,
1987-06,6.492,
1987-07,6.620,
1987-08,6.698,
1987-09,6.695,
1987-10,6.791,
1987-11,6.911,
1987-12,6.998,
1988-01,7.042,
1988-02,7.089,
1988-03,7.052,
1988-04,7.572,
1988-05,7.722,
1988-06,7.933,
1988-07,7.993,
1988-08,8.028,
1988-09,8.070,
1988-10,8.012,
1988-11,8.224,
1988-12,8.798,
1989-01,9.354,
1989-02,10.023,
1989-03,10.003,
1989-04,10.034,
1989-05,10.125,
1989-06,10.113,
1989-07,10.142,
1989-08,10.124,
1989-09,10.180,
1989-10,10.269,
1989-11,10.188,
1989-12,10.190,
1990-01,10.065,
1990-02,10.322,
1990-03,10.498,
1990-04,11.124,
1990-05,11.178,
1990-06,11.135,
1990-07,11.192,
1990-08,11.020,
1990-09,11.045,
1990-10,10.978,
1990-11,10.996,
1990-12,10.977,
1991-01,11.060,
1991-02,11.590,
1991-03,11.861,
1991-04,12.007,
1991-05,12.001,
1991-06,12.099,
1991-07,12.200,
1991-08,12.278,
1991-09,12.356,
1991-10,12.436,
1991-11,12.460,
1991-12,12.652,
1992-01,13.151,
1992-02,13.103,
1992-03,13.365,
1992-04,13.519,
1992-05,13.603,
1992-06,13.863,
1992-07,13.963,
1992-08,14.179,
1992-09,14.397,
1992-10,14.709,
1992-11,14.778,
1992-12,15.513,
1993-01,15.642,
1993-02,15.866,
1993-03,15.871,
1993-04,15.880,
1993-05,15.846,
1993-06,16.124,
1993-07,16.288,
1993-08,16.285,
1993-09,16.010,
1993-10,15.883,
1993-11,15.978,
1993-12,16.654,
1994-01,16.898,
1994-02,17.211,
1994-03,17.184,
1994-04,17.657,
1994-05,17.936,
1994-06,18.062,
1994-07,18.447,
1994-08,18.727,
1994-09,18.771,
1994-10,18.400,
1994-11,18.295,
1994-12,18.887,
1995-01,19.381,
1995-02,19.109,
1995-03,19.195,
1995-04,19.495,
1995-05,20.065,
1995-06,20.390,
1995-07,20.998,
1995-08,21.029,
1995-09,21.157,
1995-10,21.134,
1995-11,21.070,
1995-12,20.630,
1996-01,20.546,
1996-02,20.530,
1996-03,20.543,
1996-04,20.718,
1996-05,20.649,
1996-06,20.387,
1996-07,20.711,
1996-08,20.780,
1996-09,21.196,
1996-10,21.390,
1996-11,21.418,
1996-12,20.248,
1997-01,20.486,
1997-02,20.993,
1997-03,21.115,
1997-04,21.345,
1997-05,21.484,
1997-06,21.630,
1997-07,22.736,
1997-08,22.835,
1997-09,23.863,
1997-10,23.893,
1997-11,23.789,
1997-12,24.413,
1998-01,25.344,
1998-02,27.033,
1998-03,27.691,
1998-04,28.517,
1998-05,29.181,
1998-06,29.845,
1998-07,31.660,
1998-08,32.080,
1998-09,32.620,
1998-10,35.052,
1998-11,34.237,
1998-12,36.070,
1999-01,36.694,
1999-02,36.750,
1999-03,36.732,
1999-04,36.572,
1999-05,40.963,
1999-06,42.734,
1999-07,45.929,
1999-08,47.308,
1999-09,49.626,
1999-10,52.547,
1999-11,54.236,
1999-12,55.433,
2000-01,60.542,
2000-02,61.707,
2000-03,61.718,
2000-04,58.792,
2000-05,59.250,
2000-06,61.574,
2000-07,77.347,
2000-08,77.282,
2000-09,78.687,
2000-10,78.441,
2000-11,77.259,
2000-12,118.998,
2001-01,123.673,
2001-02,123.295,
2001-03,123.920,
2001-04,122.402,
2001-05,126.726,
2001-06,128.267,
2001-07,137.041,
2001-08,138.479,
2001-09,142.208,
2001-10,143.553,
2001-11,146.649,
2001-12,146.882,
2002-01,160.070,
2002-02,162.809,
2002-03,158.792,
2002-04,167.060,
2002-05,185.176,
2002-06,181.129,
2002-07,182.872,
2002-08,184.312,
2002-09,186.706,
2002-10,188.696,
2002-11,191.424,
2002-12,194.014,
2003-01,188.069,
2003-02,189.786,
2003-03,191.424,
2003-04,194.914,
2003-05,195.426,
2003-06,198.542,
2003-07,197.649,
2003-08,201.019,
2003-09,201.915,
2003-10,202.236,
2003-11,202.946,
2003-12,194.211,
2004-01,191.338,
2004-02,166.774,
2004-03,165.405,
2004-04,166.676,
2004-05,171.544,
2004-06,176.086,
2004-07,175.206,
2004-08,174.868,
2004-09,172.642,
2004-10,169.130,
2004-11,165.605,
2004-12,163.565,
2005-01,167.225,
2005-02,169.600,
2005-03,169.250,
2005-04,169.415,
2005-05,171.308,
2005-06,169.728,
2005-07,165.479,
2005-08,164.823,
2005-09,164.865,
2005-10,169.726,
2005-11,171.514,
2005-12,172.793,
2006-01,174.439,
2006-02,176.489,
2006-03,180.413,
2006-04,180.086,
2006-05,179.934,
2006-06,181.306,
2006-07,181.556,
2006-08,180.738,
2006-09,180.395,
2006-10,180.772,
2006-11,180.754,
2006-12,175.779,
2007-01,175.879,
2007-02,173.141,
2007-03,174.220,
2007-04,175.509,
2007-05,173.551,
2007-06,172.716,
2007-07,171.912,
2007-08,172.815,
2007-09,171.343,
2007-10,172.842,
2007-11,169.520,
2007-12,161.378,
2008-01,162.740,
2008-02,161.480,
2008-03,161.388,
2008-04,165.835,
2008-05,170.231,
2008-06,166.442,
2008-07,167.346,
2008-08,168.801,
2008-09,173.950,
2008-10,178.142,
2008-11,181.377,
2008-12,179.142,
2009-01,187.212,
2009-02,197.225,
2009-03,198.432,
2009-04,200.514,
2009-05,204.940,
2009-06,205.539,
2009-07,210.260,
2009-08,210.828,
2009-09,208.274,
2009-10,210.345,
2009-11,210.369,
2009-12,214.778,
2010-01,212.602,
2010-02,213.744,
2010-03,218.466,
2010-04,220.605,
2010-05,220.111,
2010-06,219.644,
2010-07,221.808,
2010-08,222.772,
2010-09,223.357,
2010-10,223.051,
2010-11,222.278,
2010-12,230.327,
2011-01,229.593,
2011-02,229.968,
2011-03,234.881,
2011-04,236.827,
2011-05,240.285,
2011-06,240.147,
2011-07,242.392,
2011-08,242.865,
2011-09,242.351,
2011-10,243.365,
2011-11,237.435,
2011-12,237.824,
2012-01,240.272,
2012-02,240.646,
2012-03,244.007,
2012-04,248.512,
2012-05,251.217,
2012-06,255.112,
2012-07,254.480,
2012-08,257.844,
2012-09,258.367,
2012-10,258.633,
2012-11,261.703,
2012-12,260.700,
2013-01,263.144,
2013-02,262.238,
2013-03,267.012,
2013-04,281.828,
2013-05,282.116,
2013-06,282.941,
2013-07,280.381,
2013-08,281.710,
2013-09,284.778,
2013-10,296.374,
2013-11,292.751,
2013-12,295.094,
2014-01,292.995,
2014-02,295.037,
2014-03,299.452,
2014-04,297.821,
2014-05,301.903,
2014-06,305.372,
2014-07,305.064,
2014-08,304.910,
2014-09,302.947,
2014-10,304.547,
2014-11,306.274,
2014-12,306.601,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
