"",BBK01.OEAE23M,BBK01.OEAE23M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:27,
2002-01,0.159,
2002-04,0.160,
2002-07,0.150,
2002-10,0.145,
2003-01,0.145,
2003-04,0.152,
2003-07,0.156,
2003-10,0.153,
2004-01,0.162,
2004-04,0.168,
2004-07,0.172,
2004-10,0.168,
2005-01,0.156,
2005-04,0.165,
2005-07,0.168,
2005-10,0.172,
2006-01,0.178,
2006-04,0.188,
2006-07,0.195,
2006-10,0.191,
2007-01,0.192,
2007-04,0.191,
2007-07,0.201,
2007-10,0.203,
2008-01,0.193,
2008-04,0.198,
2008-07,0.191,
2008-10,0.200,
2009-01,0.206,
2009-04,0.215,
2009-07,0.249,
2009-10,0.254,
2010-01,0.283,
2010-04,0.294,
2010-07,0.304,
2010-10,0.309,
2011-01,0.305,
2011-04,0.277,
2011-07,0.277,
2011-10,0.284,
2012-01,0.275,
2012-04,0.288,
2012-07,0.295,
2012-10,0.290,
2013-01,0.287,
2013-04,0.313,
2013-07,0.317,
2013-10,0.317,
2014-01,0.312,
2014-04,0.281,
2014-07,0.288,
