"",BBSF2.M.1.T.00000.GEF01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.T.00000.GEF01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Funds total / Mixed funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:02,
2009-09,121773,
2009-10,121531,
2009-11,122893,
2009-12,125683,
2010-01,126593,
2010-02,127634,
2010-03,132876,
2010-04,136215,
2010-05,136887,
2010-06,136890,
2010-07,139693,
2010-08,142307,
2010-09,144612,
2010-10,145723,
2010-11,143847,
2010-12,138031,
2011-01,137970,
2011-02,139071,
2011-03,138383,
2011-04,141411,
2011-05,141831,
2011-06,139994,
2011-07,140486,
2011-08,135888,
2011-09,133627,
2011-10,134981,
2011-11,132426,
2011-12,134694,
2012-01,138507,
2012-02,148415,
2012-03,148068,
2012-04,150951,
2012-05,150135,
2012-06,153175,
2012-07,156403,
2012-08,156669,
2012-09,157116,
2012-10,158599,
2012-11,159021,
2012-12,161888,
2013-01,162153,
2013-02,164653,
2013-03,165863,
2013-04,168868,
2013-05,167374,
2013-06,161113,
2013-07,167279,
2013-08,166628,
2013-09,168659,
2013-10,170157,
2013-11,170664,
2013-12,167836,
2014-01,168674,
2014-02,172454,
2014-03,173038,
2014-04,174329,
2014-05,176109,
2014-06,177177,
2014-07,176223,
2014-08,157696,
2014-09,157503,
2014-10,163555,
2014-11,166924,
