"",BBK01.OEHB10P,BBK01.OEHB10P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:36,
2002-01,0.482,
2002-04,0.499,
2002-07,0.450,
2002-10,0.429,
2003-01,0.438,
2003-04,0.451,
2003-07,0.428,
2003-10,0.373,
2004-01,0.354,
2004-04,0.339,
2004-07,0.304,
2004-10,0.286,
2005-01,0.282,
2005-04,0.282,
2005-07,0.258,
2005-10,0.272,
2006-01,0.266,
2006-04,0.304,
2006-07,0.285,
2006-10,0.278,
2007-01,0.298,
2007-04,0.282,
2007-07,0.300,
2007-10,0.280,
2008-01,0.268,
2008-04,0.267,
2008-07,0.288,
2008-10,0.270,
2009-01,0.270,
2009-04,0.307,
2009-07,0.266,
2009-10,0.292,
2010-01,0.311,
2010-04,0.326,
2010-07,0.273,
2010-10,0.264,
2011-01,0.317,
2011-04,0.356,
2011-07,0.292,
2011-10,0.328,
2012-01,0.379,
2012-04,0.355,
2012-07,0.363,
2012-10,0.305,
2013-01,0.321,
2013-04,0.324,
2013-07,0.302,
2013-10,0.289,
2014-01,0.274,
2014-04,0.289,
2014-07,0.295,
