"",BBK01.OEYB21O,BBK01.OEYB21O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:46,
2002-01,10.688,
2002-04,10.426,
2002-07,10.399,
2002-10,10.398,
2003-01,12.965,
2003-04,10.200,
2003-07,10.297,
2003-10,10.870,
2004-01,10.206,
2004-04,10.386,
2004-07,10.097,
2004-10,11.747,
2005-01,11.242,
2005-04,10.912,
2005-07,10.789,
2005-10,10.670,
2006-01,10.832,
2006-04,10.322,
2006-07,10.190,
2006-10,10.005,
2007-01,9.969,
2007-04,9.564,
2007-07,9.154,
2007-10,8.901,
2008-01,8.521,
2008-04,8.054,
2008-07,4.780,
2008-10,4.890,
2009-01,4.340,
2009-04,4.016,
2009-07,3.925,
2009-10,4.651,
2010-01,4.343,
2010-04,4.395,
2010-07,5.180,
2010-10,5.327,
2011-01,5.402,
2011-04,5.764,
2011-07,5.695,
2011-10,5.382,
2012-01,5.439,
2012-04,6.071,
2012-07,5.808,
2012-10,6.029,
2013-01,5.564,
2013-04,5.441,
2013-07,6.785,
2013-10,6.335,
2014-01,6.631,
2014-04,6.516,
2014-07,6.450,
