"",BBK01.OELB21N,BBK01.OELB21N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:24,
2002-01,0.524,
2002-04,0.581,
2002-07,0.605,
2002-10,0.617,
2003-01,0.604,
2003-04,0.684,
2003-07,0.638,
2003-10,0.595,
2004-01,0.880,
2004-04,0.936,
2004-07,0.702,
2004-10,0.634,
2005-01,0.612,
2005-04,0.635,
2005-07,0.601,
2005-10,0.570,
2006-01,0.473,
2006-04,0.462,
2006-07,0.495,
2006-10,0.608,
2007-01,0.509,
2007-04,0.573,
2007-07,0.564,
2007-10,0.645,
2008-01,0.512,
2008-04,0.534,
2008-07,0.487,
2008-10,0.806,
2009-01,0.408,
2009-04,0.471,
2009-07,0.477,
2009-10,0.550,
2010-01,0.575,
2010-04,0.583,
2010-07,0.623,
2010-10,0.685,
2011-01,0.690,
2011-04,0.687,
2011-07,0.643,
2011-10,0.664,
2012-01,0.620,
2012-04,0.591,
2012-07,0.591,
2012-10,0.660,
2013-01,0.599,
2013-04,0.602,
2013-07,0.609,
2013-10,0.650,
2014-01,0.628,
2014-04,0.621,
2014-07,0.582,
