"",BBK01.OEAA02R,BBK01.OEAA02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:32,
2002-01,2.280,
2002-04,2.313,
2002-07,2.392,
2002-10,2.433,
2003-01,2.473,
2003-04,2.397,
2003-07,2.346,
2003-10,2.446,
2004-01,2.235,
2004-04,2.286,
2004-07,2.275,
2004-10,2.187,
2005-01,2.136,
2005-04,2.168,
2005-07,2.092,
2005-10,1.968,
2006-01,1.864,
2006-04,1.906,
2006-07,1.791,
2006-10,1.715,
2007-01,1.773,
2007-04,1.768,
2007-07,1.669,
2007-10,1.612,
2008-01,2.603,
2008-04,1.658,
2008-07,1.703,
2008-10,1.651,
2009-01,1.592,
2009-04,1.528,
2009-07,1.476,
2009-10,1.498,
2010-01,1.386,
2010-04,1.359,
2010-07,1.327,
2010-10,1.159,
2011-01,1.295,
2011-04,1.315,
2011-07,1.185,
2011-10,1.171,
2012-01,1.255,
2012-04,1.269,
2012-07,1.232,
2012-10,1.265,
2013-01,1.334,
2013-04,1.373,
2013-07,1.303,
2013-10,1.342,
2014-01,1.422,
2014-04,1.526,
2014-07,1.421,
