"",BBK01.OEAF11K,BBK01.OEAF11K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:02,
2002-01,2.223,
2002-04,2.261,
2002-07,2.168,
2002-10,2.032,
2003-01,1.897,
2003-04,1.936,
2003-07,1.787,
2003-10,1.862,
2004-01,1.648,
2004-04,1.631,
2004-07,1.625,
2004-10,2.300,
2005-01,1.745,
2005-04,1.758,
2005-07,1.733,
2005-10,1.718,
2006-01,1.631,
2006-04,1.691,
2006-07,1.675,
2006-10,1.693,
2007-01,1.620,
2007-04,1.554,
2007-07,1.566,
2007-10,1.830,
2008-01,1.798,
2008-04,1.564,
2008-07,1.532,
2008-10,1.509,
2009-01,1.488,
2009-04,1.457,
2009-07,1.467,
2009-10,1.573,
2010-01,1.605,
2010-04,2.721,
2010-07,2.720,
2010-10,2.854,
2011-01,2.850,
2011-04,2.996,
2011-07,2.896,
2011-10,2.843,
2012-01,2.846,
2012-04,2.966,
2012-07,2.764,
2012-10,2.829,
2013-01,3.017,
2013-04,2.938,
2013-07,2.900,
2013-10,3.041,
2014-01,3.060,
2014-04,3.228,
2014-07,3.114,
