"",BBK01.OEHB10O,BBK01.OEHB10O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:21,
2002-01,1.875,
2002-04,1.876,
2002-07,1.813,
2002-10,1.710,
2003-01,1.788,
2003-04,1.781,
2003-07,1.686,
2003-10,1.606,
2004-01,1.656,
2004-04,1.611,
2004-07,1.532,
2004-10,1.401,
2005-01,1.485,
2005-04,1.422,
2005-07,1.423,
2005-10,1.290,
2006-01,1.391,
2006-04,1.419,
2006-07,1.392,
2006-10,1.308,
2007-01,1.429,
2007-04,1.365,
2007-07,1.372,
2007-10,1.365,
2008-01,1.413,
2008-04,1.428,
2008-07,1.366,
2008-10,1.335,
2009-01,1.442,
2009-04,1.441,
2009-07,1.366,
2009-10,1.283,
2010-01,1.415,
2010-04,1.313,
2010-07,1.299,
2010-10,1.165,
2011-01,1.295,
2011-04,1.310,
2011-07,1.300,
2011-10,1.241,
2012-01,1.300,
2012-04,1.339,
2012-07,1.252,
2012-10,1.198,
2013-01,1.329,
2013-04,1.307,
2013-07,1.223,
2013-10,1.178,
2014-01,1.292,
2014-04,1.203,
2014-07,1.200,
