"",BBK01.OELO05M,BBK01.OELO05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:11,
2002-01,0.036,
2002-04,0.038,
2002-07,0.040,
2002-10,0.323,
2003-01,0.058,
2003-04,0.035,
2003-07,0.039,
2003-10,0.275,
2004-01,0.054,
2004-04,0.031,
2004-07,0.033,
2004-10,0.253,
2005-01,0.051,
2005-04,0.031,
2005-07,0.035,
2005-10,0.239,
2006-01,0.048,
2006-04,0.027,
2006-07,0.029,
2006-10,0.239,
2007-01,0.043,
2007-04,0.027,
2007-07,0.031,
2007-10,0.255,
2008-01,0.040,
2008-04,0.027,
2008-07,0.030,
2008-10,0.259,
2009-01,0.040,
2009-04,0.026,
2009-07,0.038,
2009-10,0.202,
2010-01,0.038,
2010-04,0.023,
2010-07,0.025,
2010-10,0.170,
2011-01,0.035,
2011-04,0.024,
2011-07,0.028,
2011-10,0.169,
2012-01,0.036,
2012-04,0.031,
2012-07,0.033,
2012-10,0.151,
2013-01,0.034,
2013-04,0.023,
2013-07,0.025,
2013-10,0.106,
2014-01,0.026,
2014-04,0.019,
2014-07,0.017,
