"",BBFB1.Q.N.DE.S3.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:42,
1991-01,-157.155,
1991-04,-170.600,
1991-07,-207.138,
1991-10,-145.666,
1992-01,-159.299,
1992-04,-109.945,
1992-07,-134.141,
1992-10,-145.558,
1993-01,-151.854,
1993-04,-107.917,
1993-07,-151.636,
1993-10,-165.672,
1994-01,-179.028,
1994-04,-148.950,
1994-07,-167.393,
1994-10,-166.701,
1995-01,-181.914,
1995-04,-149.220,
1995-07,-169.520,
1995-10,-179.489,
1996-01,-179.778,
1996-04,-175.800,
1996-07,-182.654,
1996-10,-173.362,
1997-01,-153.573,
1997-04,-147.452,
1997-07,-160.021,
1997-10,-177.539,
1998-01,-165.203,
1998-04,42.078,
1998-07,-174.972,
1998-10,-175.440,
1999-01,-147.317,
1999-04,-106.433,
1999-07,-170.239,
1999-10,-174.893,
2000-01,-168.487,
2000-04,-116.769,
2000-07,-161.034,
2000-10,-376.154,
2001-01,-182.236,
2001-04,-142.365,
2001-07,-243.977,
2001-10,-238.968,
2002-01,-217.544,
2002-04,-243.026,
2002-07,-187.847,
2002-10,-191.792,
2003-01,-174.442,
2003-04,-156.202,
2003-07,-173.206,
2003-10,-188.991,
2004-01,-182.779,
2004-04,-149.306,
2004-07,-342.907,
2004-10,-165.954,
2005-01,-204.215,
2005-04,-173.957,
2005-07,-175.299,
2005-10,-166.031,
2006-01,-161.529,
2006-04,-138.687,
2006-07,-160.093,
2006-10,-160.964,
2007-01,-156.909,
2007-04,-125.644,
2007-07,-178.400,
2007-10,-160.893,
2008-01,-175.652,
2008-04,-115.039,
2008-07,-174.279,
2008-10,-170.530,
2009-01,-154.765,
2009-04,-180.948,
2009-07,-217.307,
2009-10,-182.204,
2010-01,-148.130,
2010-04,-225.108,
2010-07,-226.552,
2010-10,-223.968,
2011-01,-172.955,
2011-04,-152.384,
2011-07,-191.805,
2011-10,-176.701,
2012-01,-197.893,
2012-04,-155.507,
2012-07,-330.293,
2012-10,-164.425,
2013-01,-129.903,
2013-04,-119.172,
2013-07,-158.096,
2013-10,-207.688,
2014-01,-114.279,Provisional value
2014-04,-113.267,Provisional value
2014-07,-146.786,Provisional value
