"",BBK01.OEBO06P,BBK01.OEBO06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:45,
2002-01,0.499,
2002-04,0.446,
2002-07,0.440,
2002-10,0.457,
2003-01,0.453,
2003-04,0.463,
2003-07,0.496,
2003-10,0.501,
2004-01,0.486,
2004-04,0.477,
2004-07,0.487,
2004-10,0.520,
2005-01,0.893,
2005-04,0.899,
2005-07,0.907,
2005-10,0.924,
2006-01,0.914,
2006-04,0.898,
2006-07,0.860,
2006-10,0.850,
2007-01,0.889,
2007-04,0.898,
2007-07,0.919,
2007-10,0.967,
2008-01,0.982,
2008-04,0.992,
2008-07,0.975,
2008-10,1.073,
2009-01,1.084,
2009-04,1.118,
2009-07,1.162,
2009-10,1.150,
2010-01,1.132,
2010-04,1.120,
2010-07,1.120,
2010-10,1.198,
2011-01,1.187,
2011-04,1.148,
2011-07,1.135,
2011-10,1.139,
2012-01,1.172,
2012-04,1.148,
2012-07,1.123,
2012-10,1.108,
2013-01,1.063,
2013-04,1.028,
2013-07,0.996,
2013-10,0.983,
2014-01,0.948,
2014-04,0.926,
2014-07,0.980,
