"",BBK01.OEHL04V,BBK01.OEHL04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:53,
2002-01,0.668,
2002-04,0.624,
2002-07,0.627,
2002-10,0.610,
2003-01,0.618,
2003-04,0.574,
2003-07,0.548,
2003-10,0.501,
2004-01,0.490,
2004-04,0.469,
2004-07,0.457,
2004-10,0.420,
2005-01,0.412,
2005-04,0.399,
2005-07,0.403,
2005-10,0.376,
2006-01,0.363,
2006-04,0.356,
2006-07,0.348,
2006-10,0.340,
2007-01,0.356,
2007-04,0.366,
2007-07,0.374,
2007-10,0.381,
2008-01,0.394,
2008-04,0.406,
2008-07,0.435,
2008-10,0.496,
2009-01,0.429,
2009-04,0.359,
2009-07,0.307,
2009-10,0.246,
2010-01,0.218,
2010-04,0.200,
2010-07,0.192,
2010-10,0.174,
2011-01,0.162,
2011-04,0.153,
2011-07,0.154,
2011-10,0.160,
2012-01,0.147,
2012-04,0.129,
2012-07,0.113,
2012-10,0.101,
2013-01,0.096,
2013-04,0.090,
2013-07,0.089,
2013-10,0.084,
2014-01,0.086,
2014-04,0.084,
2014-07,0.084,
