"",BBK01.CEBF1Q,BBK01.CEBF1Q_FLAGS
"",longer-term loans  (consolidated) debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:48,
1991-01,407.9,
1991-04,419.2,
1991-07,443.5,
1991-10,458.9,
1992-01,476.2,
1992-04,487.8,
1992-07,501.6,
1992-10,501.9,
1993-01,512.6,
1993-04,526.5,
1993-07,541.2,
1993-10,554.2,
1994-01,538.6,
1994-04,548.1,
1994-07,555.4,
1994-10,540.6,
1995-01,558.1,
1995-04,570.2,
1995-07,573.1,
1995-10,575.3,
1996-01,584.1,
1996-04,593.4,
1996-07,599.1,
1996-10,604.0,
1997-01,615.0,
1997-04,614.6,
1997-07,626.0,
1997-10,639.9,
1998-01,646.6,
1998-04,652.3,
1998-07,665.5,
1998-10,682.2,
1999-01,624.0,
1999-04,635.0,
1999-07,669.1,
1999-10,696.4,
2000-01,690.2,
2000-04,701.4,
2000-07,721.2,
2000-10,729.5,
2001-01,733.1,
2001-04,740.6,
2001-07,758.0,
2001-10,768.3,
2002-01,773.7,
2002-04,781.9,
2002-07,781.9,
2002-10,791.5,
2003-01,787.1,
2003-04,786.7,
2003-07,781.7,
2003-10,782.0,
2004-01,784.2,
2004-04,787.3,
2004-07,775.3,
2004-10,772.4,
2005-01,775.7,
2005-04,774.5,
2005-07,771.0,
2005-10,769.1,
2006-01,779.9,
2006-04,785.0,
2006-07,789.9,
2006-10,784.4,
2007-01,790.5,
2007-04,794.5,
2007-07,798.1,
2007-10,814.1,
2008-01,806.2,
2008-04,815.4,
2008-07,832.0,
2008-10,838.7,
2009-01,852.9,
2009-04,861.2,
2009-07,853.3,
2009-10,858.6,
2010-01,848.5,
2010-04,847.0,
2010-07,850.7,
2010-10,848.6,
2011-01,850.2,
2011-04,862.8,
2011-07,865.3,
2011-10,879.8,
2012-01,876.6,
2012-04,884.4,
2012-07,899.7,
2012-10,900.0,
2013-01,911.9,
2013-04,922.4,
2013-07,920.2,
2013-10,946.0,
2014-01,935.9,
