"",BBK01.OEAA30P,BBK01.OEAA30P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:59,
2002-01,0.224,
2002-04,0.222,
2002-07,0.226,
2002-10,0.222,
2003-01,0.216,
2003-04,0.220,
2003-07,0.220,
2003-10,0.216,
2004-01,0.212,
2004-04,0.203,
2004-07,0.192,
2004-10,0.178,
2005-01,0.176,
2005-04,0.176,
2005-07,0.172,
2005-10,0.171,
2006-01,0.167,
2006-04,0.165,
2006-07,0.164,
2006-10,0.167,
2007-01,0.160,
2007-04,0.159,
2007-07,0.154,
2007-10,0.162,
2008-01,0.163,
2008-04,0.162,
2008-07,0.159,
2008-10,0.150,
2009-01,0.144,
2009-04,0.142,
2009-07,0.140,
2009-10,0.143,
2010-01,0.145,
2010-04,0.146,
2010-07,0.150,
2010-10,0.147,
2011-01,0.145,
2011-04,0.148,
2011-07,0.155,
2011-10,0.147,
2012-01,0.148,
2012-04,0.176,
2012-07,0.180,
2012-10,0.178,
2013-01,0.188,
2013-04,0.193,
2013-07,0.193,
2013-10,0.192,
2014-01,0.184,
2014-04,0.184,
2014-07,0.183,
