"",BBK01.OEXO01K,BBK01.OEXO01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:35,
2002-01,1.874,
2002-04,1.867,
2002-07,1.812,
2002-10,1.827,
2003-01,1.881,
2003-04,1.967,
2003-07,1.945,
2003-10,1.909,
2004-01,1.919,
2004-04,1.898,
2004-07,1.854,
2004-10,1.290,
2005-01,1.264,
2005-04,1.281,
2005-07,1.282,
2005-10,1.245,
2006-01,1.281,
2006-04,1.302,
2006-07,1.325,
2006-10,1.311,
2007-01,1.355,
2007-04,1.510,
2007-07,1.573,
2007-10,1.620,
2008-01,1.751,
2008-04,1.866,
2008-07,1.888,
2008-10,1.945,
2009-01,2.381,
2009-04,2.331,
2009-07,2.345,
2009-10,2.382,
2010-01,2.293,
2010-04,2.165,
2010-07,2.134,
2010-10,2.246,
2011-01,2.414,
2011-04,2.484,
2011-07,2.384,
2011-10,2.328,
2012-01,2.306,
2012-04,2.246,
2012-07,2.270,
2012-10,2.315,
2013-01,2.308,
2013-04,2.243,
2013-07,2.206,
2013-10,2.182,
2014-01,2.191,
2014-04,2.157,
2014-07,2.136,
