"",BBSF2.M.1.S.I0002.SON01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.SON01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Net sales receipts / Pension fund institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:53:50,
2009-09,623,
2009-10,-10,
2009-11,200,
2009-12,-,Nothing exists
2010-01,72,
2010-02,-,Nothing exists
2010-03,31,
2010-04,0,
2010-05,165,
2010-06,33,
2010-07,-,Nothing exists
2010-08,6,
2010-09,-,Nothing exists
2010-10,4,
2010-11,2,
2010-12,176,
2011-01,6,
2011-02,1,
2011-03,1,
2011-04,3,
2011-05,13,
2011-06,6,
2011-07,-26,
2011-08,-2,
2011-09,3,
2011-10,7,
2011-11,5,
2011-12,11,
2012-01,3,
2012-02,-,Nothing exists
2012-03,19,
2012-04,73,
2012-05,23,
2012-06,0,
2012-07,119,
2012-08,341,
2012-09,87,
2012-10,-2,
2012-11,77,
2012-12,145,
2013-01,121,
2013-02,-10,
2013-03,38,
2013-04,721,
2013-05,345,
2013-06,1,
2013-07,254,
2013-08,44,
2013-09,216,
2013-10,-39,
2013-11,-41,
2013-12,201,
2014-01,24,
2014-02,12,
2014-03,65,
2014-04,49,
2014-05,75,
2014-06,32,
2014-07,329,
2014-08,25,
2014-09,109,
2014-10,10,
2014-11,11,
