"",BBK01.OELL01T,BBK01.OELL01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:43,
2002-01,3.224,
2002-04,3.214,
2002-07,3.256,
2002-10,3.367,
2003-01,3.421,
2003-04,3.399,
2003-07,3.409,
2003-10,3.477,
2004-01,3.523,
2004-04,3.474,
2004-07,3.457,
2004-10,3.581,
2005-01,3.603,
2005-04,3.567,
2005-07,3.602,
2005-10,3.629,
2006-01,3.668,
2006-04,3.639,
2006-07,3.634,
2006-10,3.622,
2007-01,3.650,
2007-04,3.643,
2007-07,3.678,
2007-10,3.732,
2008-01,3.735,
2008-04,3.695,
2008-07,3.551,
2008-10,3.685,
2009-01,3.907,
2009-04,3.705,
2009-07,3.719,
2009-10,3.775,
2010-01,3.776,
2010-04,3.774,
2010-07,3.770,
2010-10,3.836,
2011-01,3.814,
2011-04,3.807,
2011-07,3.806,
2011-10,3.874,
2012-01,3.858,
2012-04,3.844,
2012-07,3.862,
2012-10,3.900,
2013-01,3.674,
2013-04,3.680,
2013-07,3.689,
2013-10,3.749,
2014-01,3.745,
2014-04,3.757,
2014-07,3.774,
