"",BBFB1.Q.N.DE.W00200.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.W00200.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:17,
1991-01,3853.906,
1991-04,5778.063,
1991-07,3236.052,
1991-10,2082.660,
1992-01,9067.933,
1992-04,8700.111,
1992-07,3411.660,
1992-10,16278.775,
1993-01,19334.301,
1993-04,10102.397,
1993-07,4158.747,
1993-10,-12608.576,
1994-01,8879.361,
1994-04,4009.621,
1994-07,8146.755,
1994-10,10224.109,
1995-01,-777.225,
1995-04,3518.387,
1995-07,2306.910,
1995-10,5196.072,
1996-01,9178.745,
1996-04,2341.290,
1996-07,2323.196,
1996-10,5947.532,
1997-01,18617.695,
1997-04,23908.137,
1997-07,24817.519,
1997-10,7842.031,
1998-01,37782.813,
1998-04,33981.245,
1998-07,17890.649,
1998-10,34300.060,
1999-01,57572.830,
1999-04,33508.935,
1999-07,38225.887,
1999-10,41967.987,
2000-01,86076.076,
2000-04,34918.144,
2000-07,51962.969,
2000-10,23516.937,
2001-01,44634.263,
2001-04,45021.932,
2001-07,4258.834,
2001-10,29985.462,
2002-01,30833.280,
2002-04,14519.765,
2002-07,5490.463,
2002-10,10129.309,
2003-01,2505.839,
2003-04,27743.677,
2003-07,4377.265,
2003-10,16669.145,
2004-01,30939.111,
2004-04,32818.236,
2004-07,21763.876,
2004-10,14232.586,
2005-01,65560.310,
2005-04,50308.756,
2005-07,27668.644,
2005-10,58010.054,
2006-01,56510.858,
2006-04,25615.033,
2006-07,19485.680,
2006-10,50016.103,
2007-01,65620.489,
2007-04,59886.847,
2007-07,1321.705,
2007-10,16091.017,
2008-01,36930.112,
2008-04,25179.640,
2008-07,-9666.258,
2008-10,-65497.395,
2009-01,13643.403,
2009-04,31080.320,
2009-07,25241.985,
2009-10,10354.626,
2010-01,25639.792,
2010-04,975.814,
2010-07,18174.039,
2010-10,116054.416,
2011-01,20269.195,
2011-04,8163.186,
2011-07,-13538.102,
2011-10,3206.059,
2012-01,36271.148,
2012-04,-2314.522,
2012-07,25797.315,
2012-10,43167.516,
2013-01,42808.682,
2013-04,34340.944,
2013-07,26694.741,
2013-10,19775.523,
2014-01,37913.469,Provisional value
2014-04,36182.754,Provisional value
2014-07,25139.371,Provisional value
2014-10,31714.847,Provisional value
