"",BBK01.OELB21G,BBK01.OELB21G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:20,
2002-01,0.654,
2002-04,0.629,
2002-07,0.627,
2002-10,0.703,
2003-01,0.656,
2003-04,0.670,
2003-07,0.633,
2003-10,0.669,
2004-01,0.630,
2004-04,0.651,
2004-07,0.632,
2004-10,0.590,
2005-01,0.534,
2005-04,0.511,
2005-07,0.513,
2005-10,0.565,
2006-01,0.534,
2006-04,0.542,
2006-07,0.532,
2006-10,0.583,
2007-01,0.552,
2007-04,0.578,
2007-07,0.603,
2007-10,0.653,
2008-01,0.609,
2008-04,0.593,
2008-07,0.584,
2008-10,0.659,
2009-01,0.663,
2009-04,0.692,
2009-07,0.714,
2009-10,0.807,
2010-01,0.744,
2010-04,0.744,
2010-07,0.732,
2010-10,0.716,
2011-01,0.755,
2011-04,0.745,
2011-07,0.742,
2011-10,0.719,
2012-01,0.746,
2012-04,0.716,
2012-07,0.734,
2012-10,0.730,
2013-01,0.727,
2013-04,0.723,
2013-07,0.729,
2013-10,0.742,
2014-01,0.749,
2014-04,0.765,
2014-07,0.779,
