"",BBK01.OEAA35N,BBK01.OEAA35N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:16,
2002-01,11.590,
2002-04,11.488,
2002-07,12.076,
2002-10,12.638,
2003-01,12.010,
2003-04,12.117,
2003-07,12.173,
2003-10,11.911,
2004-01,11.007,
2004-04,10.701,
2004-07,11.097,
2004-10,9.725,
2005-01,9.975,
2005-04,9.861,
2005-07,9.680,
2005-10,10.922,
2006-01,10.085,
2006-04,10.135,
2006-07,10.303,
2006-10,10.303,
2007-01,9.913,
2007-04,10.019,
2007-07,9.866,
2007-10,9.870,
2008-01,9.642,
2008-04,9.554,
2008-07,9.710,
2008-10,9.798,
2009-01,10.093,
2009-04,9.869,
2009-07,9.648,
2009-10,9.151,
2010-01,8.745,
2010-04,8.895,
2010-07,8.739,
2010-10,8.221,
2011-01,8.212,
2011-04,8.523,
2011-07,8.514,
2011-10,8.602,
2012-01,8.571,
2012-04,8.487,
2012-07,8.637,
2012-10,8.336,
2013-01,7.999,
2013-04,7.794,
2013-07,7.951,
2013-10,7.522,
2014-01,7.690,
2014-04,7.175,
2014-07,7.095,
