"",BBSF2.M.1.T.00000.TOT01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Funds total / Sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:25,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,3600,
1993-05,3396,
1993-06,3341,
1993-07,4294,
1993-08,5177,
1993-09,3687,
1993-10,5584,
1993-11,6376,
1993-12,9809,
1994-01,10737,
1994-02,8310,
1994-03,5682,
1994-04,6485,
1994-05,4395,
1994-06,5437,
1994-07,4054,
1994-08,3553,
1994-09,3502,
1994-10,5491,
1994-11,6577,
1994-12,20385,
1995-01,8993,
1995-02,6180,
1995-03,5765,
1995-04,4488,
1995-05,4907,
1995-06,5811,
1995-07,6424,
1995-08,5219,
1995-09,6768,
1995-10,5544,
1995-11,7831,
1995-12,15987,
1996-01,14508,
1996-02,11851,
1996-03,8460,
1996-04,8432,
1996-05,6826,
1996-06,7260,
1996-07,7294,
1996-08,5937,
1996-09,5700,
1996-10,8711,
1996-11,8551,
1996-12,13394,
1997-01,16049,
1997-02,13299,
1997-03,11178,
1997-04,10611,
1997-05,6918,
1997-06,14320,
1997-07,13378,
1997-08,12256,
1997-09,11744,
1997-10,12783,
1997-11,7623,
1997-12,21033,
1998-01,18601,
1998-02,14664,
1998-03,16996,
1998-04,15086,
1998-05,12680,
1998-06,12709,
1998-07,15908,
1998-08,15056,
1998-09,12314,
1998-10,12105,
1998-11,13627,
1998-12,26340,
1999-01,23770,
1999-02,16140,
1999-03,16948,
1999-04,19873,
1999-05,18051,
1999-06,15786,
1999-07,17463,
1999-08,15857,
1999-09,13772,
1999-10,16161,
1999-11,19036,
1999-12,42579,
2000-01,34072,
2000-02,26830,
2000-03,24873,
2000-04,26537,
2000-05,19956,
2000-06,19333,
2000-07,18495,
2000-08,17292,
2000-09,17533,
2000-10,18766,
2000-11,20145,
2000-12,35547,
2001-01,27971,
2001-02,22959,
2001-03,17832,
2001-04,17155,
2001-05,15273,
2001-06,15716,
2001-07,18660,
2001-08,16267,
2001-09,14585,
2001-10,19613,
2001-11,20878,
2001-12,47472,
2002-01,28724,
2002-02,21717,
2002-03,19546,
2002-04,23143,
2002-05,20953,
2002-06,21300,
2002-07,22757,
2002-08,20450,
2002-09,19672,
2002-10,25587,
2002-11,23997,
2002-12,37333,
2003-01,29550,
2003-02,26823,
2003-03,26233,
2003-04,20704,
2003-05,21526,
2003-06,21354,
2003-07,22150,
2003-08,19888,
2003-09,21525,
2003-10,20543,
2003-11,17845,
2003-12,32781,
2004-01,24496,
2004-02,19587,
2004-03,23000,
2004-04,14539,
2004-05,15859,
2004-06,14544,
2004-07,17280,
2004-08,14013,
2004-09,16793,
2004-10,17203,
2004-11,19815,
2004-12,33640,
2005-01,21397,
2005-02,20071,
2005-03,22655,
2005-04,20085,
2005-05,16195,
2005-06,22018,
2005-07,20286,
2005-08,20856,
2005-09,18803,
2005-10,18600,
2005-11,20144,
2005-12,39591,
2006-01,34756,
2006-02,26242,
2006-03,26647,
2006-04,21019,
2006-05,27944,
2006-06,24512,
2006-07,22867,
2006-08,25999,
2006-09,27342,
2006-10,16501,
2006-11,20155,
2006-12,35789,
2007-01,31700,
2007-02,28543,
2007-03,25847,
2007-04,27987,
2007-05,23302,
2007-06,24045,
2007-07,24843,
2007-08,20939,
2007-09,18149,
2007-10,26928,
2007-11,25062,
2007-12,41395,
2008-01,27786,
2008-02,18471,
2008-03,19212,
2008-04,29550,
2008-05,25456,
2008-06,20083,
2008-07,26443,
2008-08,13329,
2008-09,21014,
2008-10,20399,
2008-11,21248,
2008-12,34072,
2009-01,26381,
2009-02,14242,
2009-03,20894,
2009-04,22222,
2009-05,26779,
2009-06,14339,
2009-07,23784,
2009-08,19171,
2009-09,23928,
2009-10,29581,
2009-11,21370,
2009-12,34119,
2010-01,27803,
2010-02,18169,
2010-03,22572,
2010-04,26820,
2010-05,31852,
2010-06,20206,
2010-07,20672,
2010-08,18832,
2010-09,19393,
2010-10,24636,
2010-11,21395,
2010-12,29639,
2011-01,21823,
2011-02,22189,
2011-03,16640,
2011-04,21010,
2011-05,17572,
2011-06,15781,
2011-07,16906,
2011-08,15251,
2011-09,15687,
2011-10,16961,
2011-11,23412,
2011-12,28090,
2012-01,26035,
2012-02,27264,
2012-03,19183,
2012-04,15556,
2012-05,18557,
2012-06,22724,
2012-07,27839,
2012-08,17925,
2012-09,19372,
2012-10,18698,
2012-11,29431,
2012-12,37733,
2013-01,26024,
2013-02,25902,
2013-03,23823,
2013-04,19471,
2013-05,21996,
2013-06,22668,
2013-07,25184,
2013-08,12976,
2013-09,17058,
2013-10,21835,
2013-11,31336,
2013-12,34854,
2014-01,22537,
2014-02,27302,
2014-03,26131,
2014-04,20837,
2014-05,19265,
2014-06,20677,
2014-07,25857,
2014-08,19231,
2014-09,19713,
2014-10,37233,
2014-11,30592,
