"",BBK01.OECJ03Q,BBK01.OECJ03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:27,
2002-01,0.351,
2002-04,0.285,
2002-07,0.303,
2002-10,0.268,
2003-01,0.295,
2003-04,0.282,
2003-07,0.387,
2003-10,0.359,
2004-01,0.352,
2004-04,0.367,
2004-07,0.341,
2004-10,0.632,
2005-01,0.558,
2005-04,0.488,
2005-07,0.579,
2005-10,0.705,
2006-01,0.592,
2006-04,0.618,
2006-07,0.635,
2006-10,0.692,
2007-01,0.630,
2007-04,0.675,
2007-07,0.590,
2007-10,0.747,
2008-01,0.743,
2008-04,0.721,
2008-07,0.691,
2008-10,0.662,
2009-01,0.748,
2009-04,0.815,
2009-07,0.832,
2009-10,0.775,
2010-01,0.729,
2010-04,0.688,
2010-07,0.694,
2010-10,0.658,
2011-01,0.576,
2011-04,0.559,
2011-07,0.552,
2011-10,0.620,
2012-01,0.654,
2012-04,0.603,
2012-07,0.690,
2012-10,0.606,
2013-01,0.553,
2013-04,0.534,
2013-07,0.467,
2013-10,0.442,
2014-01,0.550,
2014-04,0.493,
2014-07,0.386,
