"",BBFB1.Q.N.DE.I7.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Expenditure / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:52,
1999-01,5902.557,
1999-04,7801.424,
1999-07,10387.429,
1999-10,6124.051,
2000-01,6165.258,
2000-04,8280.128,
2000-07,10949.923,
2000-10,6488.397,
2001-01,6151.839,
2001-04,8188.502,
2001-07,10924.958,
2001-10,6324.835,
2002-01,6394.731,
2002-04,8046.450,
2002-07,10601.188,
2002-10,6024.574,
2003-01,6186.161,
2003-04,8494.185,
2003-07,11793.320,
2003-10,6077.330,
2004-01,6140.453,
2004-04,8280.078,
2004-07,10228.235,
2004-10,5804.663,
2005-01,6103.532,
2005-04,7545.011,
2005-07,11371.765,
2005-10,6186.626,
2006-01,5832.142,
2006-04,8386.042,
2006-07,10716.814,
2006-10,5415.168,
2007-01,5515.046,
2007-04,7880.127,
2007-07,11445.396,
2007-10,5839.095,
2008-01,5719.622,
2008-04,8480.693,
2008-07,11988.845,
2008-10,6132.594,
2009-01,5336.067,
2009-04,7390.498,
2009-07,11025.759,
2009-10,5623.923,
2010-01,5146.148,
2010-04,7627.847,
2010-07,10980.960,
2010-10,5935.801,
2011-01,5464.959,
2011-04,7589.528,
2011-07,11545.322,
2011-10,5968.763,
2012-01,5385.984,
2012-04,8081.186,
2012-07,12012.285,
2012-10,5939.345,
2013-01,6180.656,
2013-04,8390.447,
2013-07,13033.423,
2013-10,7016.714,
2014-01,6025.564,Provisional value
2014-04,8809.990,Provisional value
2014-07,13790.696,Provisional value
2014-10,7129.596,Provisional value
