"",BBK01.OEBI04O,BBK01.OEBI04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:34,
2002-01,-6.112,
2002-04,-4.263,
2002-07,-3.812,
2002-10,-5.410,
2003-01,-2.441,
2003-04,-3.259,
2003-07,-2.582,
2003-10,-1.173,
2004-01,-1.278,
2004-04,-1.521,
2004-07,-1.043,
2004-10,-0.695,
2005-01,1.790,
2005-04,1.603,
2005-07,1.491,
2005-10,1.434,
2006-01,1.567,
2006-04,1.492,
2006-07,1.753,
2006-10,1.908,
2007-01,1.773,
2007-04,1.878,
2007-07,2.331,
2007-10,2.760,
2008-01,2.848,
2008-04,2.886,
2008-07,3.478,
2008-10,3.656,
2009-01,3.173,
2009-04,2.977,
2009-07,2.796,
2009-10,2.434,
2010-01,2.273,
2010-04,2.207,
2010-07,1.924,
2010-10,1.796,
2011-01,1.904,
2011-04,1.996,
2011-07,1.814,
2011-10,1.705,
2012-01,1.779,
2012-04,1.726,
2012-07,1.936,
2012-10,1.810,
2013-01,1.458,
2013-04,1.664,
2013-07,1.561,
2013-10,1.721,
2014-01,1.555,
2014-04,1.392,
2014-07,1.373,
