"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.U2.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.U2.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Euro area (changing composition) / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:49,
2009-09,150146,
2009-10,151112,
2009-11,152491,
2009-12,155581,
2010-01,157209,
2010-02,159057,
2010-03,161874,
2010-04,161790,
2010-05,163252,
2010-06,162602,
2010-07,163750,
2010-08,169434,
2010-09,166593,
2010-10,165829,
2010-11,161344,
2010-12,160207,
2011-01,155399,
2011-02,155894,
2011-03,153850,
2011-04,153054,
2011-05,153649,
2011-06,151387,
2011-07,152417,
2011-08,155952,
2011-09,156136,
2011-10,153412,
2011-11,149610,
2011-12,155676,
2012-01,149798,
2012-02,153368,
2012-03,150656,
2012-04,150414,
2012-05,153736,
2012-06,151142,
2012-07,152390,
2012-08,153479,
2012-09,151542,
2012-10,152295,
2012-11,156288,
2012-12,158668,
2013-01,157745,
2013-02,159277,
2013-03,161350,
2013-04,164989,
2013-05,163249,
2013-06,161386,
2013-07,163483,
2013-08,162730,
2013-09,162608,
2013-10,160064,
2013-11,158837,
2013-12,157553,
2014-01,162254,
2014-02,167248,
2014-03,169275,
2014-04,168663,
2014-05,172519,
2014-06,172344,
2014-07,173580,
2014-08,177329,
2014-09,176276,
2014-10,175475,
2014-11,180342,
