"",BBK01.OEAE30P,BBK01.OEAE30P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:15,
2002-01,0.170,
2002-04,0.164,
2002-07,0.180,
2002-10,0.196,
2003-01,0.208,
2003-04,0.204,
2003-07,0.181,
2003-10,0.191,
2004-01,0.188,
2004-04,0.183,
2004-07,0.182,
2004-10,0.174,
2005-01,0.178,
2005-04,0.189,
2005-07,0.183,
2005-10,0.172,
2006-01,0.213,
2006-04,0.184,
2006-07,0.178,
2006-10,0.180,
2007-01,0.194,
2007-04,0.208,
2007-07,0.230,
2007-10,0.233,
2008-01,0.241,
2008-04,0.242,
2008-07,0.262,
2008-10,0.256,
2009-01,0.256,
2009-04,0.306,
2009-07,0.307,
2009-10,0.295,
2010-01,0.265,
2010-04,0.286,
2010-07,0.305,
2010-10,0.286,
2011-01,0.273,
2011-04,0.286,
2011-07,0.246,
2011-10,0.245,
2012-01,0.267,
2012-04,0.265,
2012-07,0.266,
2012-10,0.282,
2013-01,0.283,
2013-04,0.272,
2013-07,0.259,
2013-10,0.257,
2014-01,0.224,
2014-04,0.222,
2014-07,0.234,
