"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.N000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.N000.Z06.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign non-banks arising from financial operations / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:32,
1971-12,0.502,
1972-01,0.502,
1972-02,0.503,
1972-03,0.496,
1972-04,0.489,
1972-05,0.477,
1972-06,0.485,
1972-07,0.525,
1972-08,0.485,
1972-09,0.496,
1972-10,0.510,
1972-11,0.524,
1972-12,0.581,
1973-01,0.548,
1973-02,0.536,
1973-03,0.533,
1973-04,0.632,
1973-05,0.612,
1973-06,0.633,
1973-07,0.629,
1973-08,0.627,
1973-09,0.616,
1973-10,0.618,
1973-11,0.628,
1973-12,0.619,
1974-01,0.601,
1974-02,0.613,
1974-03,0.625,
1974-04,0.628,
1974-05,0.655,
1974-06,0.691,
1974-07,0.706,
1974-08,0.727,
1974-09,0.741,
1974-10,0.769,
1974-11,0.787,
1974-12,1.001,
1975-01,1.048,
1975-02,1.043,
1975-03,1.059,
1975-04,1.075,
1975-05,1.110,
1975-06,1.156,
1975-07,1.168,
1975-08,1.202,
1975-09,1.190,
1975-10,1.209,
1975-11,1.223,
1975-12,1.264,
1976-01,1.279,
1976-02,1.264,
1976-03,1.314,
1976-04,1.309,
1976-05,1.343,
1976-06,1.362,
1976-07,1.397,
1976-08,1.429,
1976-09,1.418,
1976-10,1.339,
1976-11,1.385,
1976-12,1.440,
1977-01,1.421,
1977-02,1.453,
1977-03,1.514,
1977-04,1.529,
1977-05,1.513,
1977-06,1.546,
1977-07,1.494,
1977-08,1.537,
1977-09,1.635,
1977-10,1.555,
1977-11,1.576,
1977-12,1.604,
1978-01,1.570,
1978-02,1.588,
1978-03,1.593,
1978-04,1.645,
1978-05,1.637,
1978-06,1.622,
1978-07,1.634,
1978-08,1.636,
1978-09,1.658,
1978-10,1.633,
1978-11,1.650,
1978-12,1.735,
1979-01,1.709,
1979-02,1.823,
1979-03,1.802,
1979-04,1.664,
1979-05,1.707,
1979-06,1.748,
1979-07,1.797,
1979-08,1.782,
1979-09,1.769,
1979-10,1.749,
1979-11,1.718,
1979-12,1.736,
1980-01,1.826,
1980-02,1.883,
1980-03,1.945,
1980-04,1.950,
1980-05,1.994,
1980-06,1.933,
1980-07,1.949,
1980-08,1.953,
1980-09,1.970,
1980-10,2.017,
1980-11,2.014,
1980-12,2.096,
1981-01,2.132,
1981-02,2.133,
1981-03,2.142,
1981-04,2.172,
1981-05,2.173,
1981-06,2.254,
1981-07,2.248,
1981-08,2.288,
1981-09,2.264,
1981-10,2.322,
1981-11,2.329,
1981-12,2.562,
1982-01,2.580,
