"",BBK01.OEAD04N,BBK01.OEAD04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:24,
2002-01,1.285,
2002-04,1.250,
2002-07,1.138,
2002-10,1.154,
2003-01,1.142,
2003-04,1.037,
2003-07,1.086,
2003-10,0.974,
2004-01,0.972,
2004-04,0.907,
2004-07,0.862,
2004-10,0.805,
2005-01,0.933,
2005-04,0.896,
2005-07,0.877,
2005-10,0.885,
2006-01,0.955,
2006-04,0.868,
2006-07,0.726,
2006-10,0.698,
2007-01,0.832,
2007-04,0.817,
2007-07,1.208,
2007-10,0.847,
2008-01,0.773,
2008-04,0.808,
2008-07,0.802,
2008-10,0.746,
2009-01,0.811,
2009-04,0.823,
2009-07,0.775,
2009-10,0.723,
2010-01,0.762,
2010-04,0.739,
2010-07,0.746,
2010-10,0.732,
2011-01,0.772,
2011-04,0.759,
2011-07,0.700,
2011-10,0.698,
2012-01,0.749,
2012-04,0.770,
2012-07,0.741,
2012-10,0.737,
2013-01,0.769,
2013-04,0.782,
2013-07,0.755,
2013-10,0.760,
2014-01,1.166,
2014-04,1.135,
2014-07,1.117,
