"",BBK01.OEXB20Q,BBK01.OEXB20Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:43,
2002-01,1.958,
2002-04,1.968,
2002-07,1.970,
2002-10,1.972,
2003-01,1.998,
2003-04,2.024,
2003-07,2.035,
2003-10,2.051,
2004-01,2.058,
2004-04,2.110,
2004-07,2.119,
2004-10,1.791,
2005-01,1.805,
2005-04,1.830,
2005-07,1.865,
2005-10,1.885,
2006-01,1.898,
2006-04,1.906,
2006-07,1.908,
2006-10,1.945,
2007-01,1.945,
2007-04,1.945,
2007-07,1.936,
2007-10,1.933,
2008-01,1.929,
2008-04,1.985,
2008-07,1.981,
2008-10,1.976,
2009-01,2.017,
2009-04,2.043,
2009-07,2.087,
2009-10,2.113,
2010-01,2.121,
2010-04,2.122,
2010-07,2.130,
2010-10,2.140,
2011-01,2.142,
2011-04,2.160,
2011-07,2.183,
2011-10,2.196,
2012-01,2.221,
2012-04,2.244,
2012-07,2.287,
2012-10,2.305,
2013-01,2.334,
2013-04,2.365,
2013-07,2.410,
2013-10,2.437,
2014-01,2.462,
2014-04,2.503,
2014-07,2.526,
