"",BBDE1.M.DE.Y.AEB5.N2C290000.F.V.I10.A,BBDE1.M.DE.Y.AEB5.N2C290000.F.V.I10.A_FLAGS
"","Orders received from abroad / At current prices / Germany / 29 Manufacture of motor vehicles, trailers and semi-trailers / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:50,
1991-01,35.0,
1991-02,30.3,
1991-03,31.0,
1991-04,30.9,
1991-05,30.5,
1991-06,32.7,
1991-07,29.5,
1991-08,40.6,
1991-09,33.1,
1991-10,32.5,
1991-11,34.8,
1991-12,33.4,
1992-01,32.2,
1992-02,36.5,
1992-03,33.7,
1992-04,32.0,
1992-05,33.1,
1992-06,31.2,
1992-07,33.1,
1992-08,30.7,
1992-09,31.5,
1992-10,27.1,
1992-11,27.1,
1992-12,29.6,
1993-01,30.4,
1993-02,28.1,
1993-03,28.8,
1993-04,28.2,
1993-05,28.4,
1993-06,28.0,
1993-07,29.7,
1993-08,28.0,
1993-09,31.4,
1993-10,30.4,
1993-11,30.0,
1993-12,30.7,
1994-01,30.1,
1994-02,32.3,
1994-03,38.4,
1994-04,33.7,
1994-05,32.3,
1994-06,36.5,
1994-07,33.8,
1994-08,35.3,
1994-09,35.0,
1994-10,34.3,
1994-11,36.9,
1994-12,37.3,
1995-01,35.2,
1995-02,36.4,
1995-03,35.3,
1995-04,34.2,
1995-05,33.9,
1995-06,33.1,
1995-07,34.2,
1995-08,32.5,
1995-09,34.1,
1995-10,34.9,
1995-11,34.9,
1995-12,35.3,
1996-01,35.9,
1996-02,36.4,
1996-03,36.3,
1996-04,39.8,
1996-05,40.2,
1996-06,38.7,
1996-07,38.0,
1996-08,41.3,
1996-09,38.1,
1996-10,42.8,
1996-11,42.0,
1996-12,41.8,
1997-01,44.3,
1997-02,43.2,
1997-03,45.4,
1997-04,45.0,
1997-05,43.6,
1997-06,45.8,
1997-07,44.0,
1997-08,44.7,
1997-09,44.6,
1997-10,44.8,
1997-11,43.3,
1997-12,46.2,
1998-01,48.7,
1998-02,48.0,
1998-03,47.8,
1998-04,53.9,
1998-05,48.6,
1998-06,48.4,
1998-07,51.5,
1998-08,50.1,
1998-09,50.1,
1998-10,52.3,
1998-11,51.4,
1998-12,56.5,
1999-01,49.4,
1999-02,53.1,
1999-03,55.4,
1999-04,55.6,
1999-05,55.0,
1999-06,56.3,
1999-07,57.9,
1999-08,64.7,
1999-09,59.6,
1999-10,61.3,
1999-11,61.3,
1999-12,61.3,
2000-01,59.0,
2000-02,62.4,
2000-03,63.5,
2000-04,65.2,
2000-05,65.5,
2000-06,66.3,
2000-07,71.0,
2000-08,69.1,
2000-09,72.6,
2000-10,72.5,
