"",BBFB1.Q.N.DE.E14000.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Expenditure / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:46,
1999-01,1033.890,
1999-04,1260.936,
1999-07,1828.600,
1999-10,1273.769,
2000-01,1252.755,
2000-04,1574.858,
2000-07,2334.194,
2000-10,1568.002,
2001-01,1429.139,
2001-04,1631.897,
2001-07,2979.957,
2001-10,1673.964,
2002-01,1324.614,
2002-04,1683.818,
2002-07,2781.100,
2002-10,1566.493,
2003-01,1051.189,
2003-04,1587.848,
2003-07,2835.989,
2003-10,1497.472,
2004-01,995.788,
2004-04,1630.211,
2004-07,3330.686,
2004-10,1604.364,
2005-01,1184.967,
2005-04,2000.654,
2005-07,3358.209,
2005-10,1634.589,
2006-01,1261.564,
2006-04,1578.115,
2006-07,3192.319,
2006-10,1471.352,
2007-01,1039.591,
2007-04,1795.497,
2007-07,3339.841,
2007-10,1634.866,
2008-01,1308.857,
2008-04,1888.462,
2008-07,3176.128,
2008-10,1332.171,
2009-01,997.415,
2009-04,1903.142,
2009-07,2965.591,
2009-10,1509.841,
2010-01,1446.299,
2010-04,2003.307,
2010-07,3512.680,
2010-10,1593.648,
2011-01,1182.623,
2011-04,2160.341,
2011-07,3522.032,
2011-10,1913.869,
2012-01,1255.286,
2012-04,2010.258,
2012-07,3478.915,
2012-10,1801.449,
2013-01,1217.108,
2013-04,2010.038,
2013-07,3558.908,
2013-10,1960.834,
2014-01,1232.098,Provisional value
2014-04,1994.661,Provisional value
2014-07,4013.265,Provisional value
2014-10,1968.020,Provisional value
