"",BBK01.CEFF02,BBK01.CEFF02_FLAGS
"",long-term loans                                            debtor: Total           creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:00,
1999-01,2485.5,
1999-04,2536.0,
1999-07,2574.2,
1999-10,2635.7,
2000-01,2654.1,
2000-04,2688.4,
2000-07,2714.1,
2000-10,2740.7,
2001-01,2753.6,
2001-04,2771.1,
2001-07,2787.1,
2001-10,2817.1,
2002-01,2819.8,
2002-04,2810.4,
2002-07,2810.8,
2002-10,2835.2,
2003-01,2826.2,
2003-04,2821.4,
2003-07,2828.9,
2003-10,2843.1,
2004-01,2840.7,
2004-04,2851.9,
2004-07,2857.8,
2004-10,2855.2,
2005-01,2849.1,
2005-04,2862.1,
2005-07,2874.6,
2005-10,2874.8,
2006-01,2885.3,
2006-04,2888.7,
2006-07,2898.9,
2006-10,2893.3,
2007-01,2888.5,
2007-04,2905.7,
2007-07,2922.1,
2007-10,2923.5,
2008-01,2940.1,
2008-04,2979.1,
2008-07,3022.5,
2008-10,3036.7,
2009-01,3031.6,
2009-04,3040.4,
2009-07,3050.5,
2009-10,3070.6,
2010-01,3072.2,
2010-04,3101.1,
2010-07,3093.4,
2010-10,3074.1,
2011-01,3060.1,
2011-04,3057.0,
2011-07,3092.1,
2011-10,3138.6,
2012-01,3133.4,
2012-04,3148.1,
2012-07,3153.8,
2012-10,3154.7,
2013-01,3157.9,
2013-04,3160.4,
2013-07,3150.5,
2013-10,3149.2,
2014-01,3129.2,
2014-04,3134.9,
2014-07,3164.1,
