"",BBK01.OEHL02O,BBK01.OEHL02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:36,
2002-01,6.220,
2002-04,6.344,
2002-07,6.335,
2002-10,6.577,
2003-01,6.847,
2003-04,6.970,
2003-07,7.065,
2003-10,7.302,
2004-01,7.573,
2004-04,7.631,
2004-07,7.678,
2004-10,7.703,
2005-01,7.806,
2005-04,7.950,
2005-07,8.102,
2005-10,8.161,
2006-01,8.313,
2006-04,8.302,
2006-07,8.266,
2006-10,8.383,
2007-01,8.486,
2007-04,8.626,
2007-07,8.570,
2007-10,8.657,
2008-01,8.647,
2008-04,8.653,
2008-07,8.466,
2008-10,8.590,
2009-01,9.242,
2009-04,9.973,
2009-07,10.495,
2009-10,10.941,
2010-01,11.390,
2010-04,11.734,
2010-07,11.772,
2010-10,11.947,
2011-01,11.953,
2011-04,12.030,
2011-07,11.950,
2011-10,12.048,
2012-01,12.249,
2012-04,12.578,
2012-07,12.938,
2012-10,13.270,
2013-01,13.716,
2013-04,14.181,
2013-07,14.187,
2013-10,14.582,
2014-01,14.833,
2014-04,15.202,
2014-07,15.388,
