"",BBK01.OEAH10G,BBK01.OEAH10G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:09,
2002-01,13.368,
2002-04,13.446,
2002-07,13.554,
2002-10,13.205,
2003-01,12.917,
2003-04,12.804,
2003-07,12.525,
2003-10,12.437,
2004-01,12.272,
2004-04,12.170,
2004-07,12.139,
2004-10,12.234,
2005-01,11.945,
2005-04,11.705,
2005-07,11.397,
2005-10,11.169,
2006-01,10.908,
2006-04,10.584,
2006-07,10.317,
2006-10,10.015,
2007-01,9.557,
2007-04,9.162,
2007-07,9.140,
2007-10,8.912,
2008-01,8.439,
2008-04,8.216,
2008-07,8.098,
2008-10,7.933,
2009-01,7.750,
2009-04,7.996,
2009-07,8.359,
2009-10,9.194,
2010-01,9.687,
2010-04,9.899,
2010-07,9.838,
2010-10,10.161,
2011-01,10.264,
2011-04,10.580,
2011-07,10.545,
2011-10,10.542,
2012-01,10.121,
2012-04,9.759,
2012-07,9.396,
2012-10,8.949,
2013-01,8.681,
2013-04,8.239,
2013-07,7.576,
2013-10,7.220,
2014-01,6.873,
2014-04,6.358,
2014-07,6.064,
