"",BBK01.OEHB17U,BBK01.OEHB17U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:37,
2002-01,3.460,
2002-04,3.493,
2002-07,3.535,
2002-10,3.549,
2003-01,3.536,
2003-04,3.573,
2003-07,3.623,
2003-10,3.653,
2004-01,3.631,
2004-04,3.667,
2004-07,3.706,
2004-10,3.698,
2005-01,3.654,
2005-04,3.664,
2005-07,3.705,
2005-10,3.696,
2006-01,3.668,
2006-04,3.691,
2006-07,3.705,
2006-10,3.679,
2007-01,3.624,
2007-04,3.600,
2007-07,3.599,
2007-10,3.559,
2008-01,3.507,
2008-04,3.492,
2008-07,3.488,
2008-10,3.472,
2009-01,3.437,
2009-04,3.447,
2009-07,3.475,
2009-10,3.482,
2010-01,3.461,
2010-04,3.486,
2010-07,3.507,
2010-10,3.517,
2011-01,3.504,
2011-04,3.532,
2011-07,3.559,
2011-10,3.573,
2012-01,3.564,
2012-04,3.595,
2012-07,3.638,
2012-10,3.653,
2013-01,3.679,
2013-04,3.713,
2013-07,3.777,
2013-10,3.815,
2014-01,3.837,
2014-04,3.889,
2014-07,3.954,
