"",BBK01.OELB18G,BBK01.OELB18G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:18,
2002-01,2.313,
2002-04,2.389,
2002-07,2.411,
2002-10,2.353,
2003-01,2.193,
2003-04,2.201,
2003-07,2.152,
2003-10,2.073,
2004-01,1.966,
2004-04,1.937,
2004-07,1.953,
2004-10,1.799,
2005-01,1.771,
2005-04,1.781,
2005-07,1.786,
2005-10,1.737,
2006-01,1.671,
2006-04,1.706,
2006-07,1.733,
2006-10,1.727,
2007-01,1.674,
2007-04,1.712,
2007-07,1.757,
2007-10,1.794,
2008-01,1.767,
2008-04,1.794,
2008-07,1.807,
2008-10,1.805,
2009-01,1.755,
2009-04,1.759,
2009-07,1.750,
2009-10,1.652,
2010-01,1.634,
2010-04,1.637,
2010-07,1.642,
2010-10,1.583,
2011-01,1.561,
2011-04,1.586,
2011-07,1.590,
2011-10,1.515,
2012-01,1.514,
2012-04,1.541,
2012-07,1.584,
2012-10,1.583,
2013-01,1.561,
2013-04,1.555,
2013-07,1.610,
2013-10,1.605,
2014-01,1.597,
2014-04,1.610,
2014-07,1.630,
