"",BBFN1.M.DE.N.1.A.CN.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CN.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
2000-07,0.127,
2000-08,0.126,
2000-09,0.135,
2000-10,0.137,
2000-11,0.141,
2000-12,0.135,
2001-01,0.139,
2001-02,0.139,
2001-03,0.138,
2001-04,0.145,
2001-05,0.145,
2001-06,0.146,
2001-07,0.143,
2001-08,0.114,
2001-09,0.112,
2001-10,0.113,
2001-11,0.128,
2001-12,0.127,
2002-01,0.134,
2002-02,0.133,
2002-03,0.129,
2002-04,0.127,
2002-05,0.128,
2002-06,0.124,
2002-07,0.144,
2002-08,0.139,
2002-09,0.141,
2002-10,0.143,
2002-11,0.145,
2002-12,0.134,
2003-01,0.138,
2003-02,0.133,
2003-03,0.134,
2003-04,0.134,
2003-05,0.133,
2003-06,0.136,
2003-07,0.133,
2003-08,0.131,
2003-09,0.127,
2003-10,0.116,
2003-11,0.157,
2003-12,0.164,
2004-01,0.162,
2004-02,0.161,
2004-03,0.173,
2004-04,0.184,
2004-05,0.196,
2004-06,0.192,
2004-07,0.196,
2004-08,0.172,
2004-09,0.195,
2004-10,0.163,
2004-11,0.173,
2004-12,0.179,
2005-01,0.177,
2005-02,0.177,
2005-03,0.181,
2005-04,0.248,
2005-05,0.319,
2005-06,0.359,
2005-07,0.365,
2005-08,0.381,
2005-09,0.370,
2005-10,0.372,
2005-11,0.375,
2005-12,0.379,
2006-01,0.391,
2006-02,0.385,
2006-03,0.375,
2006-04,0.419,
2006-05,0.446,
2006-06,0.387,
2006-07,0.392,
2006-08,0.420,
2006-09,0.423,
2006-10,0.405,
2006-11,0.452,
2006-12,0.487,
2007-01,0.475,
2007-02,0.480,
2007-03,0.444,
2007-04,0.448,
2007-05,0.448,
2007-06,0.473,
2007-07,0.498,
2007-08,0.527,
2007-09,0.546,
2007-10,0.562,
2007-11,0.625,
2007-12,0.643,
2008-01,0.655,
2008-02,0.672,
2008-03,0.742,
2008-04,0.765,
2008-05,0.780,
2008-06,0.789,
2008-07,0.715,
2008-08,0.761,
2008-09,0.801,
2008-10,0.815,
2008-11,0.832,
2008-12,0.849,
2009-01,0.886,
2009-02,0.902,
2009-03,0.931,
2009-04,0.931,
2009-05,0.966,
2009-06,0.976,
2009-07,0.832,
2009-08,0.827,
2009-09,0.843,
2009-10,0.769,
2009-11,0.855,
2009-12,0.859,
2010-01,0.889,
2010-02,0.910,
2010-03,0.904,
2010-04,0.899,
2010-05,0.899,
2010-06,0.935,
2010-07,0.949,
2010-08,1.079,
2010-09,0.898,
2010-10,0.938,
2010-11,0.916,
2010-12,0.883,
2011-01,0.893,
2011-02,0.895,
2011-03,0.872,
2011-04,0.867,
2011-05,0.874,
2011-06,0.868,
2011-07,0.885,
2011-08,0.884,
2011-09,1.222,
2011-10,1.187,
2011-11,1.229,
2011-12,1.242,
2012-01,1.274,
2012-02,1.252,
2012-03,1.292,
2012-04,1.278,
2012-05,1.306,
2012-06,1.315,
2012-07,1.498,
2012-08,1.485,
2012-09,1.464,
2012-10,1.456,
2012-11,1.468,
2012-12,1.468,
2013-01,1.469,
2013-02,1.510,
2013-03,1.641,
2013-04,1.635,
2013-05,1.643,
2013-06,1.633,
2013-07,1.634,
2013-08,1.677,
2013-09,1.662,
2013-10,1.649,
2013-11,1.632,
2013-12,1.625,
2014-01,1.641,
2014-02,1.641,
2014-03,1.667,
2014-04,1.652,
2014-05,1.674,
2014-06,1.630,
2014-07,1.661,
2014-08,1.742,
2014-09,1.711,
2014-10,1.722,
2014-11,1.783,
2014-12,1.871,
"",General: Excluding Hong Kong.,
