"",BBK01.OEBB22S,BBK01.OEBB22S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:48,
2002-01,0.191,
2002-04,0.180,
2002-07,0.179,
2002-10,0.158,
2003-01,0.111,
2003-04,0.131,
2003-07,0.142,
2003-10,0.095,
2004-01,0.088,
2004-04,0.098,
2004-07,0.081,
2004-10,0.085,
2005-01,0.098,
2005-04,0.107,
2005-07,0.104,
2005-10,0.087,
2006-01,0.117,
2006-04,0.102,
2006-07,0.105,
2006-10,0.078,
2007-01,0.086,
2007-04,0.065,
2007-07,0.066,
2007-10,0.094,
2008-01,0.109,
2008-04,0.140,
2008-07,0.129,
2008-10,0.104,
2009-01,0.071,
2009-04,0.074,
2009-07,0.051,
2009-10,0.050,
2010-01,0.058,
2010-04,0.055,
2010-07,0.059,
2010-10,0.082,
2011-01,0.055,
2011-04,0.052,
2011-07,0.057,
2011-10,0.057,
2012-01,0.060,
2012-04,0.057,
2012-07,0.068,
2012-10,0.066,
2013-01,0.062,
2013-04,0.090,
2013-07,0.092,
2013-10,0.126,
2014-01,0.139,
2014-04,0.187,
2014-07,0.178,
