"",BBFB1.Q.N.DE.PL.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:30,
1991-01,-51.904,
1991-04,-65.831,
1991-07,-116.505,
1991-10,-89.244,
1992-01,-105.532,
1992-04,-116.655,
1992-07,-155.876,
1992-10,-118.702,
1993-01,-162.945,
1993-04,-166.506,
1993-07,-220.988,
1993-10,-176.725,
1994-01,-193.921,
1994-04,-199.627,
1994-07,-248.590,
1994-10,-185.728,
1995-01,-220.864,
1995-04,-223.366,
1995-07,-282.033,
1995-10,-163.883,
1996-01,-248.964,
1996-04,-281.547,
1996-07,-303.188,
1996-10,-260.100,
1997-01,-249.703,
1997-04,-323.214,
1997-07,-305.876,
1997-10,-258.781,
1998-01,-264.583,
1998-04,-339.217,
1998-07,-344.929,
1998-10,-255.553,
1999-01,-255.918,
1999-04,-335.105,
1999-07,-392.263,
1999-10,-286.189,
2000-01,-299.326,
2000-04,-418.704,
2000-07,-508.979,
2000-10,-362.831,
2001-01,-378.132,
2001-04,-474.812,
2001-07,-590.912,
2001-10,-339.970,
2002-01,-310.880,
2002-04,-408.129,
2002-07,-558.104,
2002-10,-318.029,
2003-01,-366.233,
2003-04,-541.058,
2003-07,-770.160,
2003-10,-442.071,
2004-01,-384.043,
2004-04,-654.155,
2004-07,-925.765,
2004-10,-565.882,
2005-01,-833.918,
2005-04,-821.886,
2005-07,-1134.462,
2005-10,-776.498,
2006-01,-768.481,
2006-04,-694.072,
2006-07,-1288.902,
2006-10,-891.872,
2007-01,-961.054,
2007-04,-947.116,
2007-07,-1154.581,
2007-10,-854.988,
2008-01,-952.364,
2008-04,-935.389,
2008-07,-1023.730,
2008-10,-703.929,
2009-01,-615.298,
2009-04,-877.511,
2009-07,-1029.807,
2009-10,-757.131,
2010-01,-472.222,
2010-04,-692.405,
2010-07,-934.666,
2010-10,-580.014,
2011-01,-542.104,
2011-04,-756.406,
2011-07,-879.267,
2011-10,-591.979,
2012-01,-441.248,
2012-04,-755.887,
2012-07,-843.158,
2012-10,-710.388,
2013-01,-524.345,
2013-04,-665.275,
2013-07,-936.961,
2013-10,-660.482,
2014-01,-498.994,Provisional value
2014-04,-677.174,Provisional value
2014-07,-920.578,Provisional value
