"",BBK01.WXI056,BBK01.WXI056_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:31,
2009-09,77,
2009-10,78,
2009-11,126,
2009-12,87,
2010-01,81,
2010-02,99,
2010-03,49,
2010-04,171,
2010-05,128,
2010-06,97,
2010-07,88,
2010-08,68,
2010-09,322,
2010-10,87,
2010-11,91,
2010-12,41,
2011-01,115,
2011-02,81,
2011-03,89,
2011-04,103,
2011-05,108,
2011-06,171,
2011-07,86,
2011-08,94,
2011-09,139,
2011-10,159,
2011-11,151,
2011-12,110,
2012-01,223,
2012-02,139,
2012-03,155,
2012-04,99,
2012-05,109,
2012-06,109,
2012-07,77,
2012-08,91,
2012-09,69,
2012-10,59,
2012-11,91,
2012-12,54,
2013-01,116,
2013-02,115,
2013-03,78,
2013-04,141,
2013-05,133,
2013-06,104,
2013-07,83,
2013-08,64,
2013-09,71,
2013-10,96,
2013-11,124,
2013-12,204,
2014-01,94,
2014-02,131,
2014-03,125,
2014-04,108,
2014-05,111,
2014-06,54,
2014-07,67,
2014-08,296,
2014-09,112,
2014-10,168,
2014-11,139,
