"",BBK01.OEAE09S,BBK01.OEAE09S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:50,
2002-01,0.456,
2002-04,0.461,
2002-07,0.466,
2002-10,0.480,
2003-01,0.458,
2003-04,0.461,
2003-07,0.465,
2003-10,0.467,
2004-01,0.461,
2004-04,0.497,
2004-07,0.486,
2004-10,0.473,
2005-01,0.490,
2005-04,0.487,
2005-07,0.459,
2005-10,0.456,
2006-01,0.443,
2006-04,0.469,
2006-07,0.442,
2006-10,0.442,
2007-01,0.441,
2007-04,0.440,
2007-07,0.448,
2007-10,0.508,
2008-01,0.498,
2008-04,0.510,
2008-07,0.513,
2008-10,0.512,
2009-01,0.452,
2009-04,0.388,
2009-07,0.377,
2009-10,0.388,
2010-01,0.426,
2010-04,0.422,
2010-07,0.439,
2010-10,0.432,
2011-01,0.420,
2011-04,0.419,
2011-07,0.426,
2011-10,0.443,
2012-01,0.440,
2012-04,0.420,
2012-07,0.414,
2012-10,0.414,
2013-01,0.395,
2013-04,0.373,
2013-07,0.400,
2013-10,0.390,
2014-01,0.390,
2014-04,0.377,
2014-07,0.383,
