"",BBK01.OEXI09T,BBK01.OEXI09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:24,
2002-01,0.317,
2002-04,0.307,
2002-07,0.323,
2002-10,0.307,
2003-01,0.273,
2003-04,0.244,
2003-07,0.222,
2003-10,0.211,
2004-01,0.195,
2004-04,0.180,
2004-07,0.169,
2004-10,0.161,
2005-01,0.168,
2005-04,0.156,
2005-07,0.133,
2005-10,0.127,
2006-01,0.131,
2006-04,0.140,
2006-07,0.143,
2006-10,0.160,
2007-01,0.252,
2007-04,0.284,
2007-07,0.313,
2007-10,0.373,
2008-01,0.400,
2008-04,0.418,
2008-07,0.443,
2008-10,0.576,
2009-01,0.546,
2009-04,0.519,
2009-07,0.514,
2009-10,0.437,
2010-01,0.373,
2010-04,0.362,
2010-07,0.354,
2010-10,0.427,
2011-01,0.490,
2011-04,0.509,
2011-07,0.518,
2011-10,0.510,
2012-01,0.485,
2012-04,0.480,
2012-07,0.453,
2012-10,0.394,
2013-01,0.340,
2013-04,0.299,
2013-07,0.283,
2013-10,0.267,
2014-01,0.253,
2014-04,0.244,
2014-07,0.284,
