"",BBSF2.M.1.T.00000.GEF01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.GEF01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Funds total / Mixed funds / Long-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:04,
2009-09,94491,
2009-10,95807,
2009-11,97539,
2009-12,98971,
2010-01,100524,
2010-02,101462,
2010-03,104419,
2010-04,107625,
2010-05,109915,
2010-06,109574,
2010-07,110572,
2010-08,113846,
2010-09,114546,
2010-10,113546,
2010-11,112387,
2010-12,105946,
2011-01,104986,
2011-02,106219,
2011-03,105734,
2011-04,107349,
2011-05,109014,
2011-06,107900,
2011-07,110215,
2011-08,110227,
2011-09,109816,
2011-10,109902,
2011-11,109200,
2011-12,112011,
2012-01,114602,
2012-02,117087,
2012-03,118202,
2012-04,119317,
2012-05,120919,
2012-06,122288,
2012-07,125331,
2012-08,125617,
2012-09,126370,
2012-10,126929,
2012-11,127553,
2012-12,127824,
2013-01,125717,
2013-02,128087,
2013-03,128226,
2013-04,129661,
2013-05,129049,
2013-06,126703,
2013-07,128210,
2013-08,128441,
2013-09,129577,
2013-10,129020,
2013-11,131437,
2013-12,131198,
2014-01,133830,
2014-02,132237,
2014-03,133842,
2014-04,134498,
2014-05,136758,
2014-06,138397,
2014-07,137832,
2014-08,126331,
2014-09,128908,
2014-10,135322,
2014-11,138551,
