"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:23,
1970-06,-,Nothing exists
1970-07,3892,
1970-08,4033,
1970-09,4083,
1970-10,4120,
1970-11,4092,
1970-12,4234,
1971-01,4565,
1971-02,4675,
1971-03,4769,
1971-04,4705,
1971-05,4688,
1971-06,4650,
1971-07,4768,
1971-08,4711,
1971-09,4675,
1971-10,4535,
1971-11,4595,
1971-12,4926,
1972-01,5151,
1972-02,5485,
1972-03,5679,
1972-04,5679,
1972-05,5854,
1972-06,5694,
1972-07,6037,
1972-08,6245,
1972-09,6256,
1972-10,6178,
1972-11,6296,
1972-12,6334,
1973-01,6541,
1973-02,6477,
1973-03,6752,
1973-04,6577,
1973-05,6094,
1973-06,5951,
1973-07,5728,
1973-08,5877,
1973-09,5925,
1973-10,6236,
1973-11,6029,
1973-12,6007,
1974-01,6146,
1974-02,5815,
1974-03,5597,
1974-04,5729,
1974-05,5554,
1974-06,5510,
1974-07,5439,
1974-08,5472,
1974-09,5276,
1974-10,5329,
1974-11,5534,
1974-12,5667,
1975-01,6047,
1975-02,6453,
1975-03,6537,
1975-04,6773,
1975-05,6543,
1975-06,6686,
1975-07,6933,
1975-08,6725,
1975-09,6632,
1975-10,6953,
1975-11,7231,
1975-12,7349,
1976-01,7536,
1976-02,7643,
1976-03,8001,
1976-04,7823,
1976-05,7699,
1976-06,7838,
1976-07,7792,
1976-08,7913,
1976-09,8148,
1976-10,7976,
1976-11,8579,
1976-12,8850,
1977-01,9171,
1977-02,9283,
1977-03,9748,
1977-04,10439,
1977-05,10488,
1977-06,10568,
1977-07,10939,
1977-08,11331,
1977-09,11537,
1977-10,11879,
1977-11,12137,
1977-12,12355,
1978-01,13104,
1978-02,13789,
1978-03,14121,
1978-04,14190,
1978-05,14015,
1978-06,14187,
1978-07,13916,
1978-08,14296,
1978-09,14653,
1978-10,14161,
1978-11,13978,
1978-12,14069,
1979-01,14260,
1979-02,14054,
1979-03,14190,
1979-04,14129,
1979-05,13822,
1979-06,13602,
1979-07,14027,
1979-08,14454,
1979-09,14461,
1979-10,13861,
1979-11,14263,
1979-12,14448,
1980-01,14205,
1980-02,13726,
1980-03,13093,
1980-04,13601,
1980-05,13976,
1980-06,14268,
1980-07,14521,
1980-08,14386,
1980-09,14074,
1980-10,13741,
1980-11,13564,
1980-12,13327,
1981-01,13072,
1981-02,12471,
1981-03,12748,
1981-04,12724,
1981-05,12361,
1981-06,12685,
1981-07,12563,
1981-08,12255,
1981-09,11773,
1981-10,11760,
1981-11,12279,
1981-12,12185,
1982-01,12200,
1982-02,12016,
1982-03,12362,
1982-04,12536,
1982-05,12405,
1982-06,12111,
1982-07,12287,
1982-08,12632,
1982-09,13060,
1982-10,13402,
1982-11,13449,
1982-12,13756,
1983-01,13690,
1983-02,13983,
1983-03,14810,
1983-04,15320,
1983-05,15127,
1983-06,15178,
1983-07,15295,
1983-08,15091,
1983-09,15178,
1983-10,15363,
1983-11,15656,
1983-12,15854,
1984-01,16160,
1984-02,15648,
1984-03,15682,
1984-04,16032,
1984-05,15573,
1984-06,15884,
1984-07,15981,
1984-08,16625,
1984-09,17212,
1984-10,17520,
1984-11,17830,
1984-12,18520,
1985-01,18812,
1985-02,18777,
1985-03,18924,
1985-04,19516,
1985-05,20494,
1985-06,21001,
1985-07,20713,
1985-08,21695,
1985-09,22130,
1985-10,22644,
1985-11,23129,
1985-12,24218,
1986-01,24028,
1986-02,24468,
1986-03,25979,
1986-04,26957,
1986-05,27270,
1986-06,27179,
1986-07,26641,
1986-08,28118,
1986-09,27593,
1986-10,28124,
1986-11,28444,
1986-12,28945,
1987-01,28880,
1987-02,29122,
1987-03,30070,
1987-04,30463,
1987-05,30530,
1987-06,30649,
1987-07,32370,
1987-08,32565,
1987-09,32784,
