"",BBK01.OEXI05L,BBK01.OEXI05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:55,
2002-01,15.931,
2002-04,15.894,
2002-07,16.237,
2002-10,16.271,
2003-01,16.502,
2003-04,15.961,
2003-07,16.397,
2003-10,19.579,
2004-01,17.738,
2004-04,18.229,
2004-07,18.311,
2004-10,18.947,
2005-01,19.249,
2005-04,19.577,
2005-07,19.977,
2005-10,21.696,
2006-01,26.512,
2006-04,27.605,
2006-07,28.238,
2006-10,28.404,
2007-01,29.234,
2007-04,30.782,
2007-07,32.249,
2007-10,31.880,
2008-01,31.747,
2008-04,30.896,
2008-07,30.728,
2008-10,27.645,
2009-01,27.774,
2009-04,28.806,
2009-07,29.730,
2009-10,30.337,
2010-01,30.926,
2010-04,32.160,
2010-07,37.099,
2010-10,58.848,
2011-01,58.450,
2011-04,59.371,
2011-07,59.254,
2011-10,59.175,
2012-01,58.472,
2012-04,56.844,
2012-07,56.320,
2012-10,55.751,
2013-01,55.882,
2013-04,55.475,
2013-07,56.426,
2013-10,56.548,
2014-01,55.946,
2014-04,55.691,
2014-07,55.577,
