"",BBK01.OEHI06U,BBK01.OEHI06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:01,
2002-01,1.780,
2002-04,1.815,
2002-07,1.834,
2002-10,1.892,
2003-01,1.869,
2003-04,1.818,
2003-07,1.756,
2003-10,1.754,
2004-01,1.710,
2004-04,1.634,
2004-07,1.571,
2004-10,1.556,
2005-01,1.531,
2005-04,1.486,
2005-07,1.457,
2005-10,1.457,
2006-01,1.446,
2006-04,1.446,
2006-07,1.520,
2006-10,1.562,
2007-01,1.633,
2007-04,1.680,
2007-07,1.705,
2007-10,1.784,
2008-01,1.818,
2008-04,1.850,
2008-07,1.885,
2008-10,1.882,
2009-01,1.720,
2009-04,1.559,
2009-07,1.414,
2009-10,1.255,
2010-01,1.232,
2010-04,1.174,
2010-07,1.123,
2010-10,1.135,
2011-01,1.104,
2011-04,1.117,
2011-07,1.094,
2011-10,1.138,
2012-01,1.117,
2012-04,1.057,
2012-07,1.029,
2012-10,0.984,
2013-01,0.885,
2013-04,0.843,
2013-07,0.791,
2013-10,0.783,
2014-01,0.732,
2014-04,0.705,
2014-07,0.661,
