"",BBFN1.M.DE.N.1.A.SY.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SY.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Syria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:22,
1994-07,0.331,
1994-08,0.356,
1994-09,0.362,
1994-10,0.347,
1994-11,0.352,
1994-12,0.351,
1995-01,0.351,
1995-02,0.345,
1995-03,0.346,
1995-04,0.352,
1995-05,0.356,
1995-06,0.350,
1995-07,0.348,
1995-08,0.339,
1995-09,0.342,
1995-10,0.341,
1995-11,0.335,
1995-12,0.324,
1996-01,0.339,
1996-02,0.336,
1996-03,0.335,
1996-04,0.334,
1996-05,0.339,
1996-06,0.341,
1996-07,0.342,
1996-08,0.335,
1996-09,0.342,
1996-10,0.345,
1996-11,0.347,
1996-12,0.357,
1997-01,0.349,
1997-02,0.345,
1997-03,0.336,
1997-04,0.338,
1997-05,0.336,
1997-06,0.345,
1997-07,0.341,
1997-08,0.348,
1997-09,0.342,
1997-10,0.346,
1997-11,0.348,
1997-12,0.352,
1998-01,0.350,
1998-02,0.360,
1998-03,0.346,
1998-04,0.352,
1998-05,0.310,
1998-06,0.350,
1998-07,0.341,
1998-08,0.333,
1998-09,0.350,
1998-10,0.359,
1998-11,0.338,
1998-12,0.327,
1999-01,0.326,
1999-02,0.328,
1999-03,0.315,
1999-04,0.310,
1999-05,0.322,
1999-06,0.322,
1999-07,0.329,
1999-08,0.334,
1999-09,0.336,
1999-10,0.345,
1999-11,0.352,
1999-12,0.351,
2000-01,0.374,
2000-02,0.358,
2000-03,0.359,
2000-04,0.354,
2000-05,0.363,
2000-06,0.382,
2000-07,0.365,
2000-08,0.379,
2000-09,0.382,
2000-10,0.386,
2000-11,0.400,
2000-12,0.198,
2001-01,0.181,
2001-02,0.197,
2001-03,0.194,
2001-04,0.185,
2001-05,0.188,
2001-06,0.197,
2001-07,0.201,
2001-08,0.192,
2001-09,0.210,
2001-10,0.212,
2001-11,0.202,
2001-12,0.187,
2002-01,0.169,
2002-02,0.181,
2002-03,0.188,
2002-04,0.219,
2002-05,0.204,
2002-06,0.213,
2002-07,0.214,
2002-08,0.210,
2002-09,0.214,
2002-10,0.205,
2002-11,0.202,
2002-12,0.195,
2003-01,0.196,
2003-02,0.193,
2003-03,0.190,
2003-04,0.199,
2003-05,0.178,
2003-06,0.172,
2003-07,0.160,
2003-08,0.179,
2003-09,0.192,
2003-10,0.179,
2003-11,0.169,
2003-12,0.166,
2004-01,0.157,
2004-02,0.146,
2004-03,0.159,
2004-04,0.145,
2004-05,0.170,
2004-06,0.165,
2004-07,0.148,
2004-08,0.168,
2004-09,0.178,
2004-10,0.168,
2004-11,0.167,
2004-12,0.157,
2005-01,0.136,
2005-02,0.155,
2005-03,0.173,
2005-04,0.177,
2005-05,0.177,
2005-06,0.175,
2005-07,0.185,
2005-08,0.199,
2005-09,0.181,
2005-10,0.185,
2005-11,0.246,
2005-12,0.246,
2006-01,0.241,
2006-02,0.258,
2006-03,0.261,
2006-04,0.277,
2006-05,0.265,
2006-06,0.291,
2006-07,0.271,
2006-08,0.330,
2006-09,0.243,
2006-10,0.245,
2006-11,0.267,
2006-12,0.227,
2007-01,0.211,
2007-02,0.217,
2007-03,0.222,
2007-04,0.216,
2007-05,0.225,
2007-06,0.223,
2007-07,0.254,
2007-08,0.225,
2007-09,0.220,
2007-10,0.220,
2007-11,0.219,
2007-12,0.237,
2008-01,0.240,
2008-02,0.221,
2008-03,0.229,
2008-04,0.238,
2008-05,0.232,
2008-06,0.267,
2008-07,0.287,
2008-08,0.261,
2008-09,0.270,
2008-10,0.253,
2008-11,0.235,
2008-12,0.240,
2009-01,0.233,
2009-02,0.215,
2009-03,0.220,
2009-04,0.221,
2009-05,0.222,
2009-06,0.211,
2009-07,0.208,
2009-08,0.236,
2009-09,0.212,
2009-10,0.228,
2009-11,0.296,
2009-12,0.215,
2010-01,0.212,
2010-02,0.228,
2010-03,0.258,
2010-04,0.260,
2010-05,0.288,
2010-06,0.242,
2010-07,0.274,
2010-08,0.279,
2010-09,0.231,
2010-10,0.260,
2010-11,0.226,
2010-12,0.182,
2011-01,0.181,
2011-02,0.194,
2011-03,0.177,
2011-04,0.185,
2011-05,0.179,
2011-06,0.183,
2011-07,0.171,
2011-08,0.164,
2011-09,0.167,
2011-10,0.163,
2011-11,0.150,
2011-12,0.133,
2012-01,0.152,
2012-02,0.172,
2012-03,0.169,
2012-04,0.166,
2012-05,0.161,
2012-06,0.160,
2012-07,0.156,
2012-08,0.149,
2012-09,0.195,
2012-10,0.157,
2012-11,0.156,
2012-12,0.151,
2013-01,0.145,
2013-02,0.147,
2013-03,0.149,
2013-04,0.147,
2013-05,0.119,
2013-06,0.120,
2013-07,0.140,
2013-08,0.145,
2013-09,0.149,
2013-10,0.145,
2013-11,0.146,
2013-12,0.140,
2014-01,0.138,
2014-02,0.140,
2014-03,0.138,
2014-04,0.138,
2014-05,0.135,
2014-06,0.135,
2014-07,0.135,
2014-08,0.134,
2014-09,0.135,
2014-10,0.135,
2014-11,0.131,
2014-12,0.131,
