"",BBK01.OECI04T,BBK01.OECI04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:43,
2002-01,0.576,
2002-04,0.554,
2002-07,0.483,
2002-10,0.389,
2003-01,0.358,
2003-04,0.341,
2003-07,0.342,
2003-10,0.286,
2004-01,0.268,
2004-04,0.253,
2004-07,0.280,
2004-10,0.378,
2005-01,0.409,
2005-04,0.379,
2005-07,0.279,
2005-10,0.482,
2006-01,0.484,
2006-04,0.356,
2006-07,0.508,
2006-10,0.793,
2007-01,0.614,
2007-04,0.663,
2007-07,0.923,
2007-10,0.700,
2008-01,0.622,
2008-04,0.914,
2008-07,1.017,
2008-10,0.722,
2009-01,0.586,
2009-04,0.555,
2009-07,0.475,
2009-10,0.406,
2010-01,0.315,
2010-04,0.291,
2010-07,0.293,
2010-10,0.258,
2011-01,0.264,
2011-04,0.321,
2011-07,0.309,
2011-10,0.364,
2012-01,0.350,
2012-04,0.348,
2012-07,0.364,
2012-10,0.269,
2013-01,0.590,
2013-04,0.289,
2013-07,0.273,
2013-10,0.287,
2014-01,0.391,
2014-04,0.513,
2014-07,0.435,
