"",BBK01.OEAJ04M,BBK01.OEAJ04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:19,
2002-01,4.553,
2002-04,4.870,
2002-07,5.476,
2002-10,5.668,
2003-01,4.755,
2003-04,4.646,
2003-07,4.552,
2003-10,4.168,
2004-01,3.910,
2004-04,3.652,
2004-07,3.992,
2004-10,4.296,
2005-01,3.811,
2005-04,4.141,
2005-07,4.296,
2005-10,5.080,
2006-01,5.421,
2006-04,5.539,
2006-07,6.091,
2006-10,5.520,
2007-01,6.634,
2007-04,5.659,
2007-07,6.704,
2007-10,7.936,
2008-01,8.427,
2008-04,8.629,
2008-07,10.443,
2008-10,11.585,
2009-01,11.130,
2009-04,10.388,
2009-07,11.927,
2009-10,8.267,
2010-01,9.199,
2010-04,7.679,
2010-07,10.415,
2010-10,8.821,
2011-01,10.677,
2011-04,9.837,
2011-07,11.120,
2011-10,12.282,
2012-01,13.858,
2012-04,15.135,
2012-07,11.435,
2012-10,13.201,
2013-01,9.879,
2013-04,9.347,
2013-07,6.909,
2013-10,7.264,
2014-01,7.756,
2014-04,8.439,
2014-07,7.992,
