"",BBK01.OEAH75K,BBK01.OEAH75K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:55,
2002-01,2.679,
2002-04,2.500,
2002-07,2.571,
2002-10,2.591,
2003-01,2.315,
2003-04,2.323,
2003-07,2.257,
2003-10,2.351,
2004-01,2.025,
2004-04,1.929,
2004-07,1.029,
2004-10,0.956,
2005-01,0.907,
2005-04,0.880,
2005-07,0.902,
2005-10,0.900,
2006-01,0.973,
2006-04,0.955,
2006-07,0.974,
2006-10,0.978,
2007-01,0.993,
2007-04,0.976,
2007-07,0.927,
2007-10,0.929,
2008-01,0.958,
2008-04,0.953,
2008-07,0.935,
2008-10,0.458,
2009-01,0.402,
2009-04,0.408,
2009-07,0.380,
2009-10,0.377,
2010-01,0.391,
2010-04,0.377,
2010-07,0.346,
2010-10,0.300,
2011-01,0.296,
2011-04,0.289,
2011-07,0.358,
2011-10,0.405,
2012-01,0.528,
2012-04,0.670,
2012-07,0.686,
2012-10,0.621,
2013-01,0.629,
2013-04,0.754,
2013-07,0.844,
2013-10,0.827,
2014-01,0.773,
2014-04,0.594,
2014-07,0.503,
