"",BBFB1.Q.N.DE.U3.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:07,
1991-01,220.647,
1991-04,88.954,
1991-07,-251.265,
1991-10,-64.111,
1992-01,-42.438,
1992-04,-306.528,
1992-07,-1006.171,
1992-10,-204.596,
1993-01,-85.948,
1993-04,-705.416,
1993-07,-1196.361,
1993-10,-593.535,
1994-01,-279.074,
1994-04,-831.880,
1994-07,-1580.627,
1994-10,-746.030,
1995-01,-646.721,
1995-04,-860.051,
1995-07,-1564.352,
1995-10,-596.183,
1996-01,-612.190,
1996-04,-1164.690,
1996-07,-1940.292,
1996-10,-882.251,
1997-01,-810.788,
1997-04,-1330.318,
1997-07,-1946.392,
1997-10,-1024.051,
1998-01,-589.440,
1998-04,-1209.569,
1998-07,-1881.760,
1998-10,-1161.440,
1999-01,-1175.873,
1999-04,-1553.986,
1999-07,-2323.101,
1999-10,-2070.433,
2000-01,-1439.863,
2000-04,-1624.714,
2000-07,-2909.814,
2000-10,-2054.554,
2001-01,-2010.904,
2001-04,-2070.461,
2001-07,-3441.359,
2001-10,-1355.559,
2002-01,-1396.598,
2002-04,-886.206,
2002-07,-2022.712,
2002-10,-30.076,
2003-01,-1118.994,
2003-04,-1835.017,
2003-07,-3489.733,
2003-10,-541.861,
2004-01,-866.665,
2004-04,-1269.842,
2004-07,-2705.455,
2004-10,-253.520,
2005-01,-1277.902,
2005-04,-1853.414,
2005-07,-3022.283,
2005-10,-952.429,
2006-01,-941.123,
2006-04,-740.785,
2006-07,-2974.701,
2006-10,-306.145,
2007-01,-1328.169,
2007-04,-1555.767,
2007-07,-3085.503,
2007-10,-581.914,
2008-01,-1118.061,
2008-04,-1489.629,
2008-07,-2883.774,
2008-10,-26.310,
2009-01,207.903,
2009-04,-1037.515,
2009-07,-2108.099,
2009-10,255.168,
2010-01,23.234,
2010-04,-813.810,
2010-07,-1803.777,
2010-10,-170.043,
2011-01,-520.856,
2011-04,-1849.030,
2011-07,-2498.291,
2011-10,311.289,
2012-01,-121.203,
2012-04,-724.580,
2012-07,-2120.520,
2012-10,-393.942,
2013-01,-483.360,
2013-04,-1061.604,
2013-07,-2908.154,
2013-10,-100.794,
2014-01,-528.373,Provisional value
2014-04,-872.083,Provisional value
2014-07,-3027.345,Provisional value
